
Activity Type,Location,Date/Time of Activity,Number of Participants,Timestamp
Protest,City Hall,2020-08-01 12:00:00,100,1596124400
Rally,State Capitol,2020-08-02 15:00:00,200,1596149600
March,Local Park,2020-08-03 18:00:00,150,1596174800
Picket,City Center,2020-08-04 20:00:00,90,1596200000
Speech,Public Square,2020-08-05 10:00:00,80,1596221600
Demonstration,Highway,2020-08-06 12:00:00,120,1596242800
Concert,Town Hall,2020-08-07 14:00:00,110,1596264000
Sit-in,University,2020-08-08 16:00:00,130,1596285200
Vigil,School,2020-08-09 18:00:00,140,1596306400
Sign-making,Library,2020-08-10 20:00:00,90,1596327600
Chalk-drawing,Stadium,2020-08-11 22:00:00,100,1596348800
Banner-hanging,Parking Lot,2020-08-12 00:00:00,90,1596370000
Lecture,Museum,2020-08-13 02:00:00,80,1596391200
Flyering,Train Station,2020-08-14 04:00:00,110,1596412400
Sign-waving,Airport,2020-08-15 06:00:00,120,1596433600
Fundraiser,Convention Center,2020-08-16 08:00:00,130,1596454800
Poster-hanging,Shopping Mall,2020-08-17 10:00:00,140,1596472400
Press Conference,City Hall,2020-08-18 12:00:00,100,1596493600
Canvassing,State Capitol,2020-08-19 14:00:00,90,1596514800
Debate,Local Park,2020-08-20 16:00:00,80,1596536000
