

Employment Status,Employer Name,Job Title,Industry Type
Full-Time,Acme Corporation,Accountant,Finance
Full-Time,Baker & Sons,Sales Representative,Retail
Full-Time,Canyon Solutions,Software Developer,Technology
Part-Time,Dresser & Co,Receptionist,Health Care
Full-Time,Eagle Enterprises,Project Manager,Construction
Full-Time,Fletcher & Co,Account Executive,Insurance
Part-Time,Gemini Technologies,Data Analyst,Technology
Full-Time,Heather & Associates,Graphic Designer,Advertising
Part-Time,Innovative Solutions,Copywriter,Marketing
Full-Time,Jones & Co,Human Resources Manager,HR
Part-Time,Keller & Partners,Marketing Coordinator,Retail
Full-Time,Landon & Associates,Financial Analyst,Finance
Part-Time,Mason & Co,Web Developer,Technology
Full-Time,Nelson & Sons,Product Manager,Manufacturing
Part-Time,O'Connor & Co,IT Technician,Technology
Full-Time,Parker & Sons,Administrative Assistant,Administrative
Part-Time,Quinn & Associates,Legal Secretary,Legal
Full-Time,Robinson & Co,Account Manager,Sales
Part-Time,Smith & Partners,Public Relations Specialist,Communications
Full-Time,Taylor & Associates,Bookkeeper,Accounting
