
Game ID,Age Group,Gender,Country of Origin,Timestamp
1,18-24,Male,USA,15/05/2020
2,25-34,Female,Australia,18/05/2020
3,45-54,Male,Germany,17/05/2020
4,18-24,Female,Canada,20/05/2020
5,35-44,Male,France,14/05/2020
6,18-24,Male,Spain,19/05/2020
7,25-34,Female,Italy,15/05/2020
8,55-64,Male,Brazil,16/05/2020
9,45-54,Female,China,21/05/2020
10,18-24,Male,India,19/05/2020
11,35-44,Female,Russia,18/05/2020
12,18-24,Male,Japan,20/05/2020
13,25-34,Female,South Africa,17/05/2020
14,45-54,Male,Mexico,14/05/2020
15,18-24,Female,Argentina,21/05/2020
16,55-64,Male,United Kingdom,15/05/2020
17,45-54,Female,Netherlands,19/05/2020
18,18-24,Male,Poland,18/05/2020
19,35-44,Female,Greece,17/05/2020
20,18-24,Male,Portugal,20/05/2020
