
Title,Release Date,Region,Genre,Metacritic Score,ESRB Rating,Developer,Publisher,Shoulder Content (Boolean),Timestamp
Super Mario Bros.,1985-09-13,Japan,Platformer,97,E,Nintendo,Nintendo,FALSE,1568149937
The Legend of Zelda,1986-02-21,Japan,Action-Adventure,97,E,Nintendo,Nintendo,FALSE,1568149937
Metroid,1986-08-06,Japan,Action-Adventure,91,E,Nintendo,Nintendo,FALSE,1568149937
Mega Man,1987-12-17,Japan,Platformer,90,E,Capcom,Capcom,FALSE,1568149937
Final Fantasy,1987-12-18,Japan,RPG,93,E,Square,Square,FALSE,1568149937
Kirby's Adventure,1993-05-01,Japan,Platformer,91,E,HAL Laboratory,Nintendo,FALSE,1568149937
Donkey Kong Country,1994-11-21,Japan,Platformer,94,E,Rare,Nintendo,FALSE,1568149937
Super Mario 64,1996-06-23,Japan,Platformer,97,E,Nintendo,Nintendo,FALSE,1568149937
Mario Kart 64,1996-12-14,Japan,Racing,90,E,Nintendo,Nintendo,FALSE,1568149937
The Legend of Zelda: Ocarina of Time,1998-11-21,Japan,Action-Adventure,99,E,Nintendo,Nintendo,FALSE,1568149937
Super Smash Bros.,1999-01-21,Japan,Fighting,94,E,HAL Laboratory,Nintendo,FALSE,1568149937
Paper Mario,2000-08-11,Japan,RPG,91,E,Intelligent Systems,Nintendo,FALSE,1568149937
Animal Crossing,2001-04-14,Japan,Simulation,90,E,Nintendo,Nintendo,FALSE,1568149937
Fire Emblem: The Sacred Stones,2004-05-23,Japan,Strategy,91,E,Intelligent Systems,Nintendo,FALSE,1568149937
Wii Sports,2006-12-02,Japan,Sports,87,E,Nintendo,Nintendo,FALSE,1568149937
Mario Kart Wii,2008-04-10,Japan,Racing,87,E,Nintendo,Nintendo,FALSE,1568149937
Super Mario Galaxy,2007-11-01,Japan,Platformer,97,E,Nintendo,Nintendo,FALSE,1568149937
Mario Party 9,2012-04-26,Japan,Party,76,E,Hudson Soft,Nintendo,FALSE,1568149937
Splatoon,2015-05-28,Japan,Shooter,86,E10+,Nintendo,Nintendo,FALSE,1568149937
Mario + Rabbids Kingdom Battle,2017-08-29,Japan,Strategy,81,E10+,Ubisoft,Ubisoft,FALSE,1568149937
