
Game ID,Platform Name,Platform Type,Timestamp
1,PlayStation 4,Console,2020-05-20 10:00:00
2,Nintendo Switch,Console,2020-04-30 12:00:00
3,Xbox One,Console,2020-06-15 11:00:00
4,PlayStation 3,Console,2020-03-25 14:00:00
5,PC,PC,2020-07-01 09:00:00
6,Android,Mobile,2020-08-05 13:00:00
7,iPad,Handheld,2020-09-10 15:00:00
8,PlayStation 2,Console,2020-10-15 16:00:00
9,Nintendo 3DS,Handheld,2020-11-20 17:00:00
10,Xbox 360,Console,2020-12-25 18:00:00
11,PlayStation Vita,Handheld,2021-01-30 19:00:00
12,iOS,Mobile,2021-02-15 20:00:00
13,Nintendo Wii,Console,2021-03-20 21:00:00
14,Mac OS X,PC,2021-04-25 22:00:00
15,Amazon Fire TV,Mobile,2021-05-30 23:00:00
16,Nintendo GameCube,Console,2021-06-15 00:00:00
17,Windows Phone,Mobile,2021-07-20 01:00:00
18,PlayStation 1,Console,2021-08-25 02:00:00
19,Nintendo DS,Handheld,2021-09-30 03:00:00
20,Xbox,Console,2021-10-15 04:00:00
