
Game ID,Region Sold In,Copies Sold,Total Revenue Generated,Timestamp
1,North America,1000,5000,2020-01-01
2,Europe,2000,10000,2020-02-01
3,Asia,3000,15000,2020-03-01
4,South America,4000,20000,2020-04-01
5,Africa,5000,25000,2020-05-01
6,North America,6000,30000,2020-06-01
7,Europe,7000,35000,2020-07-01
8,Asia,8000,40000,2020-08-01
9,South America,9000,45000,2020-09-01
10,Africa,10000,50000,2020-10-01
11,North America,11000,55000,2020-11-01
12,Europe,12000,60000,2020-12-01
13,Asia,13000,65000,2021-01-01
14,South America,14000,70000,2021-02-01
15,Africa,15000,75000,2021-03-01
16,North America,16000,80000,2021-04-01
17,Europe,17000,85000,2021-05-01
18,Asia,18000,90000,2021-06-01
19,South America,19000,95000,2021-07-01
20,Africa,20000,100000,2021-08-01
