
Region,Conservation Effort Type,Funding Amount,Timestamp
Arctic,Protected Habitat,$100,000,1/1/2020
Antarctica,Research Program,$500,000,2/15/2020
Alaska,Habitat Restoration,$50,000,3/1/2020
Greenland,Education Initiative,$250,000,4/1/2020
North Pole,Climate Change Research,$1,000,000,5/1/2020
Arctic Ocean,Pollution Reduction Program,$750,000,6/1/2020
South Pole,Pollution Monitoring,$200,000,7/1/2020
Norway,Public Awareness Campaign,$100,000,8/1/2020
Russia,Habitat Protection,$500,000,9/1/2020
Canada,Community Engagement,$250,000,10/1/2020
Iceland,Wildlife Monitoring,$1,000,000,11/1/2020
Finland,Conservation Education,$750,000,12/1/2020
Sweden,Protected Species Research,$200,000,1/1/2021
Denmark,Environmental Regulations,$100,000,2/1/2021
Scandinavia,Habitat Restoration,$500,000,3/1/2021
North Atlantic,Climate Change Research,$250,000,4/1/2021
Baltic Sea,Pollution Reduction Program,$1,000,000,5/1/2021
Barents Sea,Pollution Monitoring,$750,000,6/1/2021
