
Region,Population Count,Population Trend,Timestamp
Arctic Ocean,5,Increasing,2020-01-01
Baffin Bay,10,Increasing,2020-01-01
Barents Sea,25,Stable,2020-01-01
Beaufort Sea,50,Decreasing,2020-01-01
Chukchi Sea,75,Stable,2020-01-01
East Greenland,100,Increasing,2020-01-01
Foxe Basin,125,Decreasing,2020-01-01
Hudson Bay,150,Increasing,2020-01-01
Kara Sea,175,Stable,2020-01-01
Laptev Sea,200,Decreasing,2020-01-01
North Water Polynya,225,Increasing,2020-01-01
Norwegian Bay,250,Stable,2020-01-01
Queen Maud Gulf,275,Decreasing,2020-01-01
Svalbard,300,Increasing,2020-01-01
Viscount Melville Sound,325,Stable,2020-01-01
West Greenland,350,Decreasing,2020-01-01
White Sea,375,Increasing,2020-01-01
Baffin Island,400,Stable,2020-01-01
Kara Strait,425,Decreasing,2020-01-01
Severnaya Zemlya,450,Increasing,2020-01-01
