
Region,Study Title,Publication Date,Study Focus,Funding Source,Timestamp
Arctic,The Effects of Climate Change on Polar Bears' Migration Patterns,2020-02-15,Habitat,WWF,2020-12-02 10:12:45
Antarctica,Polar Bear Diet Preferences in Antarctica,2020-07-13,Diet,National Science Foundation,2020-12-02 10:12:45
Arctic,Population Dynamics of Polar Bears in the Arctic,2020-10-20,Population,Polar Bear International,2020-12-02 10:12:45
Antarctica,The Impact of Sea Ice Melting on Polar Bear Breeding,2019-12-02,Breeding,National Geographic,2020-12-02 10:12:45
Arctic,Polar Bear Hunting Habits in the Arctic,2020-05-25,Hunting,World Wildlife Fund,2020-12-02 10:12:45
Antarctica,The Impact of Pollution on Polar Bear Health,2020-08-17,Health,NASA,2020-12-02 10:12:45
Arctic,The Impact of Tourism on Polar Bear Behavior,2020-09-08,Behavior,Arctic Council,2020-12-02 10:12:45
Antarctica,The Impact of Human Activity on Polar Bear Population,2020-02-22,Population,International Union for Conservation of Nature,2020-12-02 10:12:45
Arctic,Polar Bear Migration Patterns in the Arctic,2020-11-15,Migration,National Oceanic and Atmospheric Administration,2020-12-02 10:12:45
Antarctica,The Effects of Pollution on Polar Bear Diet,2020-04-30,Diet,The Nature Conservancy,2020-12-02 10:12:45
Arctic,The Impact of Oil Drilling on Polar Bear Habitats,2020-01-20,Habitat,Greenpeace,2020-12-02 10:12:45
Antarctica,Polar Bear Breeding Habits in Antarctica,2020-06-05,Breeding,US Fish and Wildlife Service,2020-12-02 10:12:45
Arctic,The Effects of Climate Change on Polar Bear Hunting,2020-03-15,Hunting,World Wide Fund for Nature,2020-12-02 10:12:45
Antarctica,The Impact of Tourism on Polar Bear Health,2020-07-20,Health,Polar Bears International,2020-12-02 10:12:45
Arctic,The Impact of Human Activity on Polar Bear Migration,2019-10-02,Migration,Arctic Research Consortium of the United States,2020-12-02 10:12:45
Antarctica,Polar Bear Diet Preferences in Antarctica,2020-05-13,Diet,National Science Foundation,2020-12-02 10:12:45
Arctic,The Impact of Sea Ice Melting on Polar Bear Breeding,2020-12-02,Breeding,National Geographic,2020-12-02 10:12:45
Antarctica,Polar Bear Hunting Habits in Antarctica,2020-04-25,Hunting,World Wildlife Fund,2020-12-02 10:12:45
Arctic,The Impact of Pollution on Polar Bear Health,2020-09-17,Health,NASA,2020-12-02 10:12:45
Antarctica,The Impact of Human Activity on Polar Bear Population,2020-01-22,Population,International Union for Conservation of Nature,2020-12-02 10:12:45
