
Probability_ID,Population_ID,Number_of_People,Probability_Result,Timestamp
1,1,2,0.0027,2020-07-14 10:00:00
2,2,3,0.0081,2020-07-14 10:00:01
3,3,4,0.0128,2020-07-14 10:00:02
4,4,5,0.0171,2020-07-14 10:00:03
5,5,6,0.0211,2020-07-14 10:00:04
6,6,7,0.0248,2020-07-14 10:00:05
7,7,8,0.0282,2020-07-14 10:00:06
8,8,9,0.0314,2020-07-14 10:00:07
9,9,10,0.0344,2020-07-14 10:00:08
10,10,11,0.0372,2020-07-14 10:00:09
11,11,12,0.0399,2020-07-14 10:00:10
12,12,13,0.0424,2020-07-14 10:00:11
13,13,14,0.0448,2020-07-14 10:00:12
14,14,15,0.0471,2020-07-14 10:00:13
15,15,16,0.0493,2020-07-14 10:00:14
16,16,17,0.0513,2020-07-14 10:00:15
17,17,18,0.0533,2020-07-14 10:00:16
18,18,19,0.0551,2020-07-14 10:00:17
19,19,20,0.0569,2020-07-14 10:00:18
20,20,21,0.0586,2020-07-14 10:00:19
