
Result_ID, Algorithm_ID, DataSet_ID, Percent_Correct, Date_Created, Last_Updated
1, 1, 1, 0.91, 01/01/2020, 01/02/2020
2, 1, 2, 0.93, 01/02/2020, 01/03/2020
3, 2, 1, 0.89, 01/03/2020, 01/04/2020
4, 2, 2, 0.92, 01/04/2020, 01/05/2020
5, 3, 1, 0.90, 01/05/2020, 01/06/2020
6, 3, 2, 0.94, 01/06/2020, 01/07/2020
7, 4, 1, 0.88, 01/07/2020, 01/08/2020
8, 4, 2, 0.91, 01/08/2020, 01/09/2020
9, 5, 1, 0.87, 01/09/2020, 01/10/2020
10, 5, 2, 0.93, 01/10/2020, 01/11/2020
11, 6, 1, 0.86, 01/11/2020, 01/12/2020
12, 6, 2, 0.92, 01/12/2020, 01/13/2020
13, 7, 1, 0.85, 01/13/2020, 01/14/2020
14, 7, 2, 0.91, 01/14/2020, 01/15/2020
15, 8, 1, 0.84, 01/15/2020, 01/16/2020
16, 8, 2, 0.90, 01/16/2020, 01/17/2020
17, 9, 1, 0.83, 01/17/2020, 01/18/2020
18, 9, 2, 0.89, 01/18/2020, 01/19/2020
19, 10, 1, 0.82, 01/19/2020, 01/20/2020
20, 10, 2, 0.88, 01/20/2020, 01/21/2020
