

Algorithm_ID,Algorithm_Name,Program_Language,Date_Created,Last_Updated
1,FRS1,Python,10/01/2020,11/01/2020
2,FRS2,Java,11/01/2020,12/01/2020
3,FRS3,C++,12/01/2020,01/01/2021
4,FRS4,JavaScript,01/02/2021,02/02/2021
5,FRS5,C#,02/02/2021,03/02/2021
6,FRS6,Python,03/03/2021,04/03/2021
7,FRS7,Java,04/03/2021,05/03/2021
8,FRS8,C++,05/04/2021,06/04/2021
9,FRS9,JavaScript,06/04/2021,07/04/2021
10,FRS10,C#,07/05/2021,08/05/2021
11,FRS11,Python,08/05/2021,09/05/2021
12,FRS12,Java,09/06/2021,10/06/2021
13,FRS13,C++,10/06/2021,11/06/2021
14,FRS14,JavaScript,11/07/2021,12/07/2021
15,FRS15,C#,12/07/2021,01/08/2021
16,FRS16,Python,01/08/2021,02/08/2021
17,FRS17,Java,02/09/2021,03/09/2021
18,FRS18,C++,03/09/2021,04/09/2021
19,FRS19,JavaScript,04/10/2021,05/10/2021
20,FRS20,C#,05/10/2021,06/10/2021
