
DataSet_ID,DataSet_Name,Number_of_Images,Facial_Features,Date_Created,Last_Updated
1,TestDataSet1,1000,Eye Color,1/1/2020,1/2/2020
2,TestDataSet2,2000,Hair Color,2/1/2020,2/2/2020
3,TestDataSet3,3000,Skin Tone,3/1/2020,3/2/2020
4,TestDataSet4,4000,Facial Hair,4/1/2020,4/2/2020
5,TestDataSet5,5000,Facial Expression,5/1/2020,5/2/2020
6,TestDataSet6,6000,Hair Length,6/1/2020,6/2/2020
7,TestDataSet7,7000,Nose Shape,7/1/2020,7/2/2020
8,TestDataSet8,8000,Mouth Shape,8/1/2020,8/2/2020
9,TestDataSet9,9000,Eye Shape,9/1/2020,9/2/2020
10,TestDataSet10,10000,Facial Proportions,10/1/2020,10/2/2020
11,TestDataSet11,11000,Facial Symmetry,11/1/2020,11/2/2020
12,TestDataSet12,12000,Facial Contours,12/1/2020,12/2/2020
13,TestDataSet13,13000,Facial Hair Color,1/1/2021,1/2/2021
14,TestDataSet14,14000,Eye Color Variation,2/1/2021,2/2/2021
15,TestDataSet15,15000,Hair Color Variation,3/1/2021,3/2/2021
16,TestDataSet16,16000,Skin Tone Variation,4/1/2021,4/2/2021
17,TestDataSet17,17000,Facial Hair Variation,5/1/2021,5/2/2021
18,TestDataSet18,18000,Facial Expression Variation,6/1/2021,6/2/2021
19,TestDataSet19,19000,Hair Length Variation,7/1/2021,7/2/2021
20,TestDataSet20,20000,Nose Shape Variation,8/1/2021,8/2/2021
