
ResultByUser_ID,Session_ID,User_ID,Algorithm_ID,DataSet_ID,PercentCorrect,DateTimeStarted,DateTimeEnded
1,1,1,1,1,90.00,2021-01-01 10:00:00,2021-01-01 10:30:00
2,1,2,1,1,95.00,2021-01-01 10:00:00,2021-01-01 10:30:00
3,2,1,2,1,80.00,2021-01-02 10:00:00,2021-01-02 10:30:00
4,2,2,2,1,85.00,2021-01-02 10:00:00,2021-01-02 10:30:00
5,3,1,3,1,70.00,2021-01-03 10:00:00,2021-01-03 10:30:00
6,3,2,3,1,75.00,2021-01-03 10:00:00,2021-01-03 10:30:00
7,4,1,1,2,92.00,2021-01-04 10:00:00,2021-01-04 10:30:00
8,4,2,1,2,97.00,2021-01-04 10:00:00,2021-01-04 10:30:00
9,5,1,2,2,82.00,2021-01-05 10:00:00,2021-01-05 10:30:00
10,5,2,2,2,87.00,2021-01-05 10:00:00,2021-01-05 10:30:00
11,6,1,3,2,72.00,2021-01-06 10:00:00,2021-01-06 10:30:00
12,6,2,3,2,77.00,2021-01-06 10:00:00,2021-01-06 10:30:00
13,7,1,1,3,91.00,2021-01-07 10:00:00,2021-01-07 10:30:00
14,7,2,1,3,96.00,2021-01-07 10:00:00,2021-01-07 10:30:00
15,8,1,2,3,81.00,2021-01-08 10:00:00,2021-01-08 10:30:00
16,8,2,2,3,86.00,2021-01-08 10:00:00,2021-01-08 10:30:00
17,9,1,3,3,71.00,2021-01-09 10:00:00,2021-01-09 10:30:00
18,9,2,3,3,76.00,2021-01-09 10:00:00,2021-01-09 10:30:00
19,10,1,1,4,93.00,2021-01-10 10:00:00,2021-01-10 10:30:00
20,10,2,1,4,98.00,2021-01-10 10:00:00,2021-01-10 10:30:00
