

Record_ID,Puzzle_ID,Solver_ID,Time,Type,Timestamp
1,1,2,120,Fastest,2020-10-01 09:00:00
2,2,3,130,Fastest,2020-10-01 10:00:00
3,3,4,140,Fastest,2020-10-01 11:00:00
4,4,5,150,Fastest,2020-10-01 12:00:00
5,5,6,160,Fastest,2020-10-01 13:00:00
6,6,7,170,Fastest,2020-10-01 14:00:00
7,7,8,180,Fastest,2020-10-01 15:00:00
8,8,9,190,Fastest,2020-10-01 16:00:00
9,9,10,200,Fastest,2020-10-01 17:00:00
10,1,11,210,Slowest,2020-10-01 18:00:00
11,2,12,220,Slowest,2020-10-01 19:00:00
12,3,13,230,Slowest,2020-10-01 20:00:00
13,4,14,240,Slowest,2020-10-01 21:00:00
14,5,15,250,Slowest,2020-10-01 22:00:00
15,6,16,260,Slowest,2020-10-01 23:00:00
16,7,17,270,Slowest,2020-10-02 00:00:00
17,8,18,280,Slowest,2020-10-02 01:00:00
18,9,19,290,Slowest,2020-10-02 02:00:00
19,10,20,300,Slowest,2020-10-02 03:00:00
20,10,21,310,Slowest,2020-10-02 04:00:00
