
Puzzle_ID,Size,Type,Timestamp
1,3x3,Rubik's Cube,2020-10-01T07:00:00
2,4x4,Rubik's Cube,2020-10-02T08:15:00
3,2x2,Rubik's Cube,2020-10-03T09:30:00
4,5x5,Rubik's Cube,2020-10-04T10:45:00
5,3x3,Rubik's Cube,2020-10-05T12:00:00
6,4x4,Rubik's Cube,2020-10-06T13:15:00
7,2x2,Rubik's Cube,2020-10-07T14:30:00
8,5x5,Rubik's Cube,2020-10-08T15:45:00
9,3x3,Rubik's Cube,2020-10-09T17:00:00
10,4x4,Rubik's Cube,2020-10-10T18:15:00
11,2x2,Rubik's Cube,2020-10-11T19:30:00
12,5x5,Rubik's Cube,2020-10-12T20:45:00
13,3x3,Rubik's Cube,2020-10-13T22:00:00
14,4x4,Rubik's Cube,2020-10-14T23:15:00
15,2x2,Rubik's Cube,2020-10-15T00:30:00
16,5x5,Rubik's Cube,2020-10-16T01:45:00
17,3x3,Rubik's Cube,2020-10-17T03:00:00
18,4x4,Rubik's Cube,2020-10-18T04:15:00
19,2x2,Rubik's Cube,2020-10-19T05:30:00
20,5x5,Rubik's Cube,2020-10-20T06:45:00
