
Result_ID,Puzzle_ID,Solver_ID,Result,Timestamp
1,5,2,Success,2020-05-02 11:34:01
2,7,3,Success,2020-05-03 13:45:02
3,2,4,Fail,2020-05-04 17:27:08
4,4,2,Success,2020-05-05 19:18:09
5,9,3,Fail,2020-05-06 09:21:10
6,3,4,Success,2020-05-07 11:22:11
7,5,2,Fail,2020-05-08 13:23:12
8,7,3,Success,2020-05-09 15:24:13
9,2,4,Fail,2020-05-10 17:25:14
10,4,2,Success,2020-05-11 19:26:15
11,9,3,Fail,2020-05-12 09:27:16
12,3,4,Success,2020-05-13 11:28:17
13,5,2,Success,2020-05-14 13:29:18
14,7,3,Fail,2020-05-15 15:30:19
15,2,4,Fail,2020-05-16 17:31:20
16,4,2,Success,2020-05-17 19:32:21
17,9,3,Success,2020-05-18 09:33:22
18,3,4,Fail,2020-05-19 11:34:23
19,5,2,Success,2020-05-20 13:35:24
20,7,3,Fail,2020-05-21 15:36:25
