
Solve_ID,Puzzle_ID,Solver_ID,Time,Timestamp
1,1,1,43,2020-09-08 10:21:00
2,1,2,39,2020-09-08 10:22:00
3,2,1,35,2020-09-08 10:23:00
4,2,2,30,2020-09-08 10:24:00
5,3,1,45,2020-09-08 10:25:00
6,3,2,41,2020-09-08 10:26:00
7,4,1,38,2020-09-08 10:27:00
8,4,2,32,2020-09-08 10:28:00
9,5,1,50,2020-09-08 10:29:00
10,5,2,46,2020-09-08 10:30:00
11,6,1,40,2020-09-08 10:31:00
12,6,2,37,2020-09-08 10:32:00
13,7,1,54,2020-09-08 10:33:00
14,7,2,50,2020-09-08 10:34:00
15,8,1,48,2020-09-08 10:35:00
16,8,2,44,2020-09-08 10:36:00
17,9,1,41,2020-09-08 10:37:00
18,9,2,37,2020-09-08 10:38:00
19,10,1,55,2020-09-08 10:39:00
20,10,2,51,2020-09-08 10:40:00
