
Physician_ID,Name,Specialty,Practice_Location,Timestamp
1,Dr. Abigail Smith,Pediatrics,New York,2020-07-01
2,Dr. Robert Jones,Genetics,Chicago,2020-07-02
3,Dr. Sarah Miller,Neurology,Los Angeles,2020-07-03
4,Dr. John Williams,Pediatrics,Boston,2020-07-04
5,Dr. Elizabeth Brown,Genetics,Houston,2020-07-05
6,Dr. Thomas Davis,Neurology,San Francisco,2020-07-06
7,Dr. Jennifer Wilson,Pediatrics,Atlanta,2020-07-07
8,Dr. Mark Taylor,Genetics,Philadelphia,2020-07-08
9,Dr. Susan Anderson,Neurology,Phoenix,2020-07-09
10,Dr. Joseph Jackson,Pediatrics,San Diego,2020-07-10
11,Dr. Barbara Johnson,Genetics,Dallas,2020-07-11
12,Dr. William Rodriguez,Neurology,Seattle,2020-07-12
13,Dr. Richard White,Pediatrics,Miami,2020-07-13
14,Dr. Patricia Lewis,Genetics,Detroit,2020-07-14
15,Dr. Christopher Walker,Neurology,Indianapolis,2020-07-15
16,Dr. Matthew Hall,Pediatrics,Minneapolis,2020-07-16
17,Dr. Karen Allen,Genetics,Tampa,2020-07-17
18,Dr. Charles Young,Neurology,St. Louis,2020-07-18
19,Dr. Sandra Gonzalez,Pediatrics,Pittsburgh,2020-07-19
20,Dr. Mark Baker,Genetics,Baltimore,2020-07-20
