
Title,Author,Release Date,Description,Genre,Book Cover Image,Created At,Updated At
Goosebumps #1: Welcome to Dead House,R.L. Stine,1992-07-01,When Amanda and Josh move into an old spooky house, they soon discover that their new home is haunted by a mysterious ghost,Horror,dead_house.jpg,2020-11-01 00:00:00,2020-11-01 00:00:00
Goosebumps #2: Stay Out of the Basement,R.L. Stine,1992-08-01,When Dr. Brewer begins to act strangely, his children soon discover he has been experimenting with plants in the basement,Horror,basement.jpg,2020-11-01 00:00:01,2020-11-01 00:00:01
Goosebumps #3: Monster Blood,R.L. Stine,1992-09-01,When Evan buys a can of Monster Blood, he soon discovers it has a life of its own and is growing bigger and bigger,Horror,monster_blood.jpg,2020-11-01 00:00:02,2020-11-01 00:00:02
Goosebumps #4: Say Cheese and Die!,R.L. Stine,1992-10-01,When Greg steals a mysterious old camera, he soon discovers that the photos it takes come true - but not in a good way,Horror,say_cheese.jpg,2020-11-01 00:00:03,2020-11-01 00:00:03
Goosebumps #5: The Curse of the Mummy's Tomb,R.L. Stine,1992-11-01,When Gabe and his family go on a trip to Egypt, they soon discover a cursed mummy's tomb and must find a way to break the curse,Horror,mummy_tomb.jpg,2020-11-01 00:00:04,2020-11-01 00:00:04
Goosebumps #6: Let's Get Invisible!,R.L. Stine,1992-12-01,When Max and his siblings find a mysterious mirror, they soon discover that it has the power to make them invisible,Horror,invisible.jpg,2020-11-01 00:00:05,2020-11-01 00:00:05
Goosebumps #7: Night of the Living Dummy,R.L. Stine,1993-01-01,When Trina finds a ventriloquist dummy in her attic, she soon discovers that it has a life of its own and is wreaking havoc on her family,Horror,dummy.jpg,2020-11-01 00:00:06,2020-11-01 00:00:06
Goosebumps #8: The Girl Who Cried Monster,R.L. Stine,1993-02-01,When Lucy tells her family that monsters are real, they don't believe her - but soon, she discovers that she was right all along,Horror,monster.jpg,2020-11-01 00:00:07,2020-11-01 00:00:07
Goosebumps #9: Welcome to Camp Nightmare,R.L. Stine,1993-03-01,When Billy goes to camp, he soon discovers that it is not what it seems - and that something sinister is going on,Horror,camp_nightmare.jpg,2020-11-01 00:00:08,2020-11-01 00:00:08
Goosebumps #10: The Ghost Next Door,R.L. Stine,1993-04-01,When Hannah moves into a new house, she soon discovers that her neighbor is a ghost - and that he needs her help,Horror,ghost.jpg,2020-11-01 00:00:09,2020-11-01 00:00:09
Goosebumps #11: The Haunted Mask,R.L. Stine,1993-05-01,When Carly Beth buys a mysterious mask, she soon discovers that it has a life of its own and is transforming her into something else,Horror,mask.jpg,2020-11-01 00:00:10,2020-11-01 00:00:10
Goosebumps #12: Be Careful What You Wish For,R.L. Stine,1993-06-01,When Max wishes for a genie to grant his every wish, he soon discovers that the genie has a sinister agenda of his own,Horror,genie.jpg,2020-11-01 00:00:11,2020-11-01 00:00:11
Goosebumps #13: Piano Lessons Can Be Murder,R.L. Stine,1993-07-01,When Jerry signs up for piano lessons, he soon discovers that his teacher is a murderous ghost,Horror,piano.jpg,2020-11-01 00:00:12,2020-11-01 00:00:12
Goosebumps #14: The Werewolf of Fever Swamp,R.L. Stine,1993-08-01,When Grady moves to Fever Swamp, he soon discovers that a werewolf is on the loose and it might be closer than he thinks,Horror,werewolf.jpg,2020-11-01 00:00:13,2020-11-01 00:00:13
Goosebumps #15: You Can't Scare Me!,R.L. Stine,1993-09-01,When Eddie and his friends try to prove that they aren't scared of anything, they soon discover that there are some things that even they can't handle,Horror,scare.jpg,2020-11-01 00:00:14,2020-11-01 00:00:14
Goosebumps #16: One Day at Horrorland,R.L. Stine,1993-10-01,When the Morris family goes to Horrorland, they soon discover that it is not the fun theme park they expected - and that they must find a way to escape,Horror,horrorland.jpg,2020-11-01 00:00:15,2020-11-01 00:00:15
Goosebumps #17: Why I'm Afraid of Bees,R.L. Stine,1993-11-01,When Buzzy is stung by a mysterious bee, he soon discovers that the bee is part of a sinister plot to take over the world,Horror,bees.jpg,2020-11-01 00:00:16,2020-11-01 00:00:16
Goosebumps #18: Monster Blood II,R.L. Stine,1993-12-01,When Evan buys a can of Monster Blood, he soon discovers that it has a life of its own and is growing bigger and bigger,Horror,monster_blood_2.jpg,2020-11-01 00:00:17,2020-11-01 00:00:17
Goosebumps #19: Deep Trouble,R.L. Stine,1994-01-01,When Bill and Sheena go on a scuba diving trip, they soon discover that they are being hunted by a mysterious sea monster,Horror,deep_trouble.jpg,2020-11-01 00:00:18,2020-11-01 00:00:18
Goosebumps #20: The Scarecrow Walks at Midnight,R.L. Stine,1994-02-01,When Jodie and Mark visit their grandparents' farm, they soon discover that the scarecrows are coming to life and wreaking havoc,Horror,scarecrow.jpg,2020-11-01 00:00:19,2020-11-01 00:00:19
