
Image URL,Image Type,Timestamps
https://upload.wikimedia.org/wikipedia/en/e/e1/Goosebumps_Welcome_to_Dead_House.jpg,Book Cover Image,2020-04-20 18:00:00
https://upload.wikimedia.org/wikipedia/en/7/73/Goosebumps_Stay_Out_of_the_Basement.jpg,Book Cover Image,2020-04-20 18:30:00
https://upload.wikimedia.org/wikipedia/en/5/5e/Goosebumps_Monster_Blood.jpg,Book Cover Image,2020-04-20 19:00:00
https://upload.wikimedia.org/wikipedia/en/b/b4/Goosebumps_Say_Cheese_and_Die.jpg,Book Cover Image,2020-04-20 19:30:00
https://upload.wikimedia.org/wikipedia/en/6/6b/Goosebumps_The_Curse_of_the_Mummy%27s_Tomb.jpg,Book Cover Image,2020-04-20 20:00:00
https://upload.wikimedia.org/wikipedia/en/8/8e/Goosebumps_Let%27s_Get_Invisible.jpg,Book Cover Image,2020-04-20 20:30:00
https://upload.wikimedia.org/wikipedia/en/f/f3/Goosebumps_Night_of_the_Living_Dummy.jpg,Book Cover Image,2020-04-20 21:00:00
https://upload.wikimedia.org/wikipedia/en/0/0d/Goosebumps_The_Girl_Who_Cried_Monster.jpg,Book Cover Image,2020-04-20 21:30:00
https://upload.wikimedia.org/wikipedia/en/7/7e/Goosebumps_Welcome_to_Camp_Nightmare.jpg,Book Cover Image,2020-04-20 22:00:00
https://upload.wikimedia.org/wikipedia/en/3/3a/Goosebumps_The_Ghost_Next_Door.jpg,Book Cover Image,2020-04-20 22:30:00
https://upload.wikimedia.org/wikipedia/commons/1/1f/R._L._Stine_%28cropped%29.jpg,Author Photo Image,2020-04-20 23:00:00
https://upload.wikimedia.org/wikipedia/en/3/3a/Goosebumps_The_Barking_Ghost.jpg,Book Cover Image,2020-04-20 23:30:00
https://upload.wikimedia.org/wikipedia/en/f/f3/Goosebumps_Be_Careful_What_You_Wish_For.jpg,Book Cover Image,2020-04-21 00:00:00
https://upload.wikimedia.org/wikipedia/en/d/d3/Goosebumps_Piano_Lessons_Can_Be_Murder.jpg,Book Cover Image,2020-04-21 00:30:00
https://upload.wikimedia.org/wikipedia/en/2/2b/Goosebumps_The_Werewolf_of_Fever_Swamp.jpg,Book Cover Image,2020-04-21 01:00:00
https://upload.wikimedia.org/wikipedia/en/2/2f/Goosebumps_You_Can%27t_Scare_Me.jpg,Book Cover Image,2020-04-21 01:30:00
https://upload.wikimedia.org/wikipedia/en/2/2f/Goosebumps_Deep_Trouble.jpg,Book Cover Image,2020-04-21 02:00:00
https://upload.wikimedia.org/wikipedia/en/b/b2/Goosebumps_The_Haunted_Mask.jpg,Book Cover Image,2020-04-21 02:30:00
https://upload.wikimedia.org/wikipedia/en/f/f9/Goosebumps_The_Scarecrow_Walks_at_Midnight.jpg,Book Cover Image,2020-04-21 03:00:00
https://upload.wikimedia.org/wikipedia/en/7/77/Goosebumps_Monster_Blood_II.jpg,Book Cover Image,2020-04-21 03:30:00
