
User Name,Rating,Book,Timestamps
John,5,Harry Potter and the Sorcerer's Stone,2020-07-01 10:25:00
Sarah,3,Harry Potter and the Chamber of Secrets,2020-07-02 15:30:00
Alex,4,Harry Potter and the Prisoner of Azkaban,2020-07-03 07:45:00
Laura,4,Harry Potter and the Goblet of Fire,2020-07-04 12:00:00
Tom,2,Harry Potter and the Order of the Phoenix,2020-07-05 18:15:00
Chris,3,Harry Potter and the Half-Blood Prince,2020-07-06 20:30:00
Cindy,5,Harry Potter and the Deathly Hallows,2020-07-07 10:45:00
Randy,4,Harry Potter and the Cursed Child,2020-07-08 15:00:00
Dave,3,Fantastic Beasts and Where to Find Them,2020-07-09 07:15:00
Samantha,2,Fantastic Beasts: The Crimes of Grindelwald,2020-07-10 12:30:00
Eric,4,Fantastic Beasts: The Deathly Hallows,2020-07-11 18:45:00
Karen,3,Harry Potter and the Philosopher's Stone,2020-07-12 21:00:00
Steven,5,Harry Potter and the Chamber of Secrets,2020-07-13 11:15:00
Beth,4,Harry Potter and the Prisoner of Azkaban,2020-07-14 16:30:00
Mark,2,Harry Potter and the Goblet of Fire,2020-07-15 08:45:00
Amy,3,Harry Potter and the Order of the Phoenix,2020-07-16 14:00:00
Scott,4,Harry Potter and the Half-Blood Prince,2020-07-17 19:15:00
Kathy,5,Harry Potter and the Deathly Hallows,2020-07-18 09:30:00
Carol,2,Harry Potter and the Cursed Child,2020-07-19 14:45:00
