
LocationID,Latitude,Longitude,Room Number
1,47.06518,-122.81229,A-101
2,37.78308,-122.41971,B-106
3,38.90719,-77.03687,C-213
4,41.87811,-87.62979,D-301
5,32.77667,-96.79698,E-102
6,34.05223,-118.24368,F-303
7,40.74482,-73.94875,G-104
8,25.76168,-80.19179,H-203
9,42.33143,-83.04575,I-304
10,29.7604,-95.3698,J-101
11,35.6895,-105.9377,K-106
12,41.25236,-95.99277,L-213
13,44.97775,-93.26501,M-301
14,30.26715,-97.74306,N-102
15,41.87811,-87.62979,O-303
16,33.95335,-84.54009,P-104
17,39.09596,-94.58885,Q-203
18,36.15398,-86.78164,R-304
19,41.25236,-95.99277,S-101
20,38.62727,-90.19941,T-106
