
SensorID,Timestamp,x-coordinate,y-coordinate,z-coordinate,Distance
1,1583750863,3.14,2.71,0.25,3.71
2,1583750892,2.71,1.45,0.12,2.67
3,1583750920,4.20,3.14,0.22,4.45
4,1583750948,2.13,1.41,0.10,2.37
5,1583750975,3.14,2.71,0.20,3.62
6,1583750999,2.71,1.45,0.09,2.53
7,1583751022,4.20,3.14,0.18,4.22
8,1583751048,2.13,1.41,0.07,2.20
9,1583751074,3.14,2.71,0.15,3.38
10,1583751098,2.71,1.45,0.05,2.27
11,1583751122,4.20,3.14,0.12,3.95
12,1583751146,2.13,1.41,0.03,2.02
13,1583751171,3.14,2.71,0.10,3.13
14,1583751194,2.71,1.45,0.02,2.07
15,1583751218,4.20,3.14,0.08,3.70
16,1583751243,2.13,1.41,0.01,1.96
17,1583751267,3.14,2.71,0.05,2.87
18,1583751291,2.71,1.45,0.00,1.90
19,1583751315,4.20,3.14,0.03,3.45
20,1583751339,2.13,1.41,0.00,1.86
