
Recipe_Ingredient_ID,Recipe_ID,Ingredient_ID,Amount,Measurement,Timestamp_Created
1,1,1,1,cup,2020-05-01 10:00:00
2,1,2,2,tablespoons,2020-05-01 10:00:00
3,1,3,3,teaspoons,2020-05-01 10:00:00
4,2,4,4,ounces,2020-05-01 10:00:00
5,2,5,5,pounds,2020-05-01 10:00:00
6,2,6,6,cloves,2020-05-01 10:00:00
7,3,7,7,cups,2020-05-01 10:00:00
8,3,8,8,tablespoons,2020-05-01 10:00:00
9,3,9,9,teaspoons,2020-05-01 10:00:00
10,4,10,10,ounces,2020-05-01 10:00:00
11,4,11,11,pounds,2020-05-01 10:00:00
12,4,12,12,cloves,2020-05-01 10:00:00
13,5,13,13,cups,2020-05-01 10:00:00
14,5,14,14,tablespoons,2020-05-01 10:00:00
15,5,15,15,teaspoons,2020-05-01 10:00:00
16,6,16,16,ounces,2020-05-01 10:00:00
17,6,17,17,pounds,2020-05-01 10:00:00
18,6,18,18,cloves,2020-05-01 10:00:00
19,7,19,19,cups,2020-05-01 10:00:00
20,7,20,20,tablespoons,2020-05-01 10:00:00
