
User_Rating_ID,Recipe_ID,Rating,Comments,Timestamp_Created
1,1,3,"This recipe was okay, but I think it could use more seasoning.",2020-05-01 12:00:00
2,2,5,"This recipe was delicious! I will definitely make it again.",2020-05-02 13:00:00
3,3,1,"This recipe was terrible. I would not recommend it.",2020-05-03 14:00:00
4,4,4,"This recipe was good, but I think it could use more vegetables.",2020-05-04 15:00:00
5,5,3,"This recipe was okay, but I think it needed more flavor.",2020-05-05 16:00:00
6,6,2,"This recipe was not very good. I would not make it again.",2020-05-06 17:00:00
7,7,4,"This recipe was good, but I think it needed more spices.",2020-05-07 18:00:00
8,8,5,"This recipe was amazing! I will definitely make it again.",2020-05-08 19:00:00
9,9,3,"This recipe was okay, but I think it could use more seasoning.",2020-05-09 20:00:00
10,10,4,"This recipe was good, but I think it needed more vegetables.",2020-05-10 21:00:00
11,11,1,"This recipe was terrible. I would not recommend it.",2020-05-11 22:00:00
12,12,2,"This recipe was not very good. I would not make it again.",2020-05-12 23:00:00
13,13,5,"This recipe was delicious! I will definitely make it again.",2020-05-13 00:00:00
14,14,3,"This recipe was okay, but I think it needed more flavor.",2020-05-14 01:00:00
15,15,4,"This recipe was good, but I think it could use more spices.",2020-05-15 02:00:00
16,16,2,"This recipe was not very good. I would not make it again.",2020-05-16 03:00:00
17,17,5,"This recipe was amazing! I will definitely make it again.",2020-05-17 04:00:00
18,18,3,"This recipe was okay, but I think it could use more seasoning.",2020-05-18 05:00:00
19,19,4,"This recipe was good, but I think it needed more vegetables.",2020-05-19 06:00:00
20,20,1,"This recipe was terrible. I would not recommend it.",2020-05-20 07:00:00
