
Center Name,Address,Phone Number,Website URL,State,Services Offered,Timestamp
Mountainview Recovery,1445 S. Main St.,(817) 886-5154,http://www.mountainviewrecovery.com/,Texas,Detox, Rehab, Outpatient,2020-11-17 14:39:00
Sunny Side Up,722 W. Oak St.,(719) 548-2245,http://www.sunnysideup.org/,Colorado,Detox, Rehab, Outpatient,2020-11-17 14:39:00
The Healing Place,1456 N. Main St.,(919) 886-6754,http://www.thehealingplace.com/,North Carolina,Detox, Rehab, Outpatient,2020-11-17 14:39:00
Life Recovery Center,1037 S. Main St.,(310) 886-5154,http://www.liferecoverycenter.com/,California,Detox, Rehab, Outpatient,2020-11-17 14:39:00
The Haven,1245 W. Oak St.,(321) 886-5154,http://www.thehaven.org/,Florida,Detox, Rehab, Outpatient,2020-11-17 14:39:00
Hope House,722 W. Main St.,(719) 548-2245,http://www.hopehouse.org/,Colorado,Detox, Rehab, Outpatient,2020-11-17 14:39:00
Recovery Now,1456 N. Main St.,(919) 886-6754,http://www.recoverynow.com/,North Carolina,Detox, Rehab, Outpatient,2020-11-17 14:39:00
The Renewal Center,1037 S. Main St.,(310) 886-5154,http://www.therenewalcenter.com/,California,Detox, Rehab, Outpatient,2020-11-17 14:39:00
New Beginnings,1245 W. Oak St.,(321) 886-5154,http://www.newbeginnings.org/,Florida,Detox, Rehab, Outpatient,2020-11-17 14:39:00
Harborview Recovery,1445 S. Main St.,(817) 886-5154,http://www.harborviewrecovery.com/,Texas,Detox, Rehab, Outpatient,2020-11-17 14:39:00
The Gateway,722 W. Oak St.,(719) 548-2245,http://www.thegateway.org/,Colorado,Detox, Rehab, Outpatient,2020-11-17 14:39:00
The Bridge,1456 N. Main St.,(919) 886-6754,http://www.thebridge.com/,North Carolina,Detox, Rehab, Outpatient,2020-11-17 14:39:00
The Journey,1037 S. Main St.,(310) 886-5154,http://www.thejourney.org/,California,Detox, Rehab, Outpatient,2020-11-17 14:39:00
The Sanctuary,1245 W. Oak St.,(321) 886-5154,http://www.thesanctuary.org/,Florida,Detox, Rehab, Outpatient,2020-11-17 14:39:00
The Way,1445 S. Main St.,(817) 886-5154,http://www.theway.org/,Texas,Detox, Rehab, Outpatient,2020-11-17 14:39:00
The Center,722 W. Oak St.,(719) 548-2245,http://www.thecenter.org/,Colorado,Detox, Rehab, Outpatient,2020-11-17 14:39:00
The Oasis,1456 N. Main St.,(919) 886-6754,http://www.theoasis.org/,North Carolina,Detox, Rehab, Outpatient,2020-11-17 14:39:00
The Retreat,1037 S. Main St.,(310) 886-5154,http://www.theretreat.org/,California,Detox, Rehab, Outpatient,2020-11-17 14:39:00
The Haven of Hope,1245 W. Oak St.,(321) 886-5154,http://www.thehavenofhope.org/,Florida,Detox, Rehab, Outpatient,2020-11-17 14:39:00
