
State,Age Group,Gender,Number of Users,Timestamp
AL,18-24,Male,13,2020-05-12 10:20:00
AK,25-34,Female,17,2020-04-23 13:45:00
AZ,35-44,Male,20,2020-06-08 14:30:00
AR,45-54,Female,14,2020-07-11 12:00:00
CA,55-64,Male,18,2020-08-19 15:45:00
CO,65+,Female,9,2020-09-22 10:00:00
CT,18-24,Male,11,2020-10-25 11:30:00
DE,25-34,Female,16,2020-11-28 13:15:00
FL,35-44,Male,21,2020-12-31 14:45:00
GA,45-54,Female,15,2021-01-03 12:15:00
HI,55-64,Male,19,2021-02-06 15:30:00
ID,65+,Female,8,2021-03-09 10:45:00
IL,18-24,Male,12,2021-04-12 11:15:00
IN,25-34,Female,18,2021-05-15 13:00:00
IA,35-44,Male,22,2021-06-18 14:30:00
KS,45-54,Female,13,2021-07-21 12:00:00
KY,55-64,Male,17,2021-08-24 15:15:00
LA,65+,Female,10,2021-09-27 10:30:00
ME,18-24,Male,14,2021-10-30 11:45:00
MD,25-34,Female,15,2021-11-02 13:30:00
