
State,Population,Area (sq mi),Population Density (per sq mi),Timestamp
Alabama,4886708,52,94.37,2020-09-15T17:00:00Z
Alaska,737438,656,1.13,2020-09-15T17:00:00Z
Arizona,7171646,113,63.47,2020-09-15T17:00:00Z
Arkansas,3017804,53,57.15,2020-09-15T17:00:00Z
California,39557045,163,243.13,2020-09-15T17:00:00Z
Colorado,5758736,104,55.45,2020-09-15T17:00:00Z
Connecticut,3565287,55,64.87,2020-09-15T17:00:00Z
Delaware,973764,24,40.47,2020-09-15T17:00:00Z
Florida,21299325,65,325.90,2020-09-15T17:00:00Z
Georgia,10617423,58,183.45,2020-09-15T17:00:00Z
Hawaii,1415872,10,141.59,2020-09-15T17:00:00Z
Idaho,1787065,83,21.55,2020-09-15T17:00:00Z
Illinois,12671821,55,230.56,2020-09-15T17:00:00Z
Indiana,6732219,36,186.49,2020-09-15T17:00:00Z
Iowa,3155070,56,56.10,2020-09-15T17:00:00Z
Kansas,2913314,82,35.58,2020-09-15T17:00:00Z
Kentucky,4467673,40,111.69,2020-09-15T17:00:00Z
Louisiana,4648794,51,91.21,2020-09-15T17:00:00Z
Maine,1344212,35,38.34,2020-09-15T17:00:00Z
Maryland,6045680,12,505.47,2020-09-15T17:00:00Z
