
Merchandise_ID,Item_Name,Price,Quantity_Sold,Date_Sold
1,Skate Rental,5.00,20,2020-08-15 12:30:00
2,Roller Blades,25.00,15,2020-08-15 13:15:00
3,Roller Skates,20.00,10,2020-08-15 14:00:00
4,Helmet,15.00,5,2020-08-15 14:45:00
5,Knee Pads,10.00,25,2020-08-15 15:30:00
6,Elbow Pads,8.00,30,2020-08-15 16:15:00
7,Wrist Guards,6.00,35,2020-08-15 17:00:00
8,Laces,4.00,40,2020-08-15 17:45:00
9,Socks,3.00,45,2020-08-15 18:30:00
10,Glow Sticks,2.00,50,2020-08-15 19:15:00
11,Light Up Shoes,35.00,10,2020-08-15 20:00:00
12,Hoodies,25.00,15,2020-08-15 20:45:00
13,T-Shirts,20.00,20,2020-08-15 21:30:00
14,Hats,15.00,25,2020-08-15 22:15:00
15,Tote Bags,10.00,30,2020-08-15 23:00:00
16,Keychains,8.00,35,2020-08-15 23:45:00
17,Stickers,6.00,40,2020-08-16 00:30:00
18,Water Bottles,5.00,45,2020-08-16 01:15:00
19,Lanyards,4.00,50,2020-08-16 02:00:00
20,Pins,3.00,55,2020-08-16 02:45:00
