
Revenue_ID,Day/Week/Month/Year,Admission_Revenue,Merchandise_Revenue,Total_Revenue
1,25/07/2020,50.00,32.50,82.50
2,26/07/2020,75.00,42.50,117.50
3,27/07/2020,80.00,50.00,130.00
4,28/07/2020,65.00,37.50,102.50
5,29/07/2020,60.00,30.00,90.00
6,30/07/2020,45.00,22.50,67.50
7,31/07/2020,70.00,35.00,105.00
8,01/08/2020,85.00,42.50,127.50
9,02/08/2020,90.00,45.00,135.00
10,03/08/2020,75.00,37.50,112.50
11,04/08/2020,60.00,30.00,90.00
12,05/08/2020,45.00,22.50,67.50
13,06/08/2020,70.00,35.00,105.00
14,07/08/2020,85.00,42.50,127.50
15,08/08/2020,90.00,45.00,135.00
16,09/08/2020,75.00,37.50,112.50
17,10/08/2020,60.00,30.00,90.00
18,11/08/2020,45.00,22.50,67.50
19,12/08/2020,70.00,35.00,105.00
20,13/08/2020,85.00,42.50,127.50
