
Engagement_id,User_id,Views,Likes,Shares,Comments,Timestamp
1,1,9,2,3,1,2020-05-01 12:00:00
2,2,11,1,2,0,2020-05-02 13:00:00
3,3,7,4,0,2,2020-05-03 14:00:00
4,4,8,3,1,3,2020-05-04 15:00:00
5,5,5,5,5,5,2020-05-05 16:00:00
6,6,4,4,4,4,2020-05-06 17:00:00
7,7,3,3,3,3,2020-05-07 18:00:00
8,8,2,2,2,2,2020-05-08 19:00:00
9,9,1,1,1,1,2020-05-09 20:00:00
10,10,0,0,0,0,2020-05-10 21:00:00
11,11,7,2,1,2,2020-05-11 22:00:00
12,12,10,4,3,3,2020-05-12 23:00:00
13,13,8,3,2,1,2020-05-13 00:00:00
14,14,6,5,4,4,2020-05-14 01:00:00
15,15,4,4,3,2,2020-05-15 02:00:00
16,16,2,1,2,1,2020-05-16 03:00:00
17,17,1,0,1,0,2020-05-17 04:00:00
18,18,9,3,2,1,2020-05-18 05:00:00
19,19,7,2,1,2,2020-05-19 06:00:00
20,20,5,5,5,5,2020-05-20 07:00:00
