
Follower_id,Following_id,Timestamp
1,2,2021-04-06 01:25:02
2,3,2021-04-07 03:45:12
3,4,2021-04-08 05:10:34
4,5,2021-04-09 07:20:45
5,6,2021-04-10 09:35:56
6,7,2021-04-11 11:50:07
7,8,2021-04-12 13:05:18
8,9,2021-04-13 15:20:29
9,10,2021-04-14 17:35:40
10,11,2021-04-15 19:50:51
11,12,2021-04-16 21:06:02
12,13,2021-04-17 23:21:13
13,14,2021-04-18 01:36:24
14,15,2021-04-19 03:51:35
15,16,2021-04-20 06:06:46
16,17,2021-04-21 08:21:57
17,18,2021-04-22 10:37:08
18,19,2021-04-23 12:52:19
19,20,2021-04-24 15:07:30
20,1,2021-04-25 17:22:41
