
Hashtag_id,Post_id,Tag,Timestamp
1,1,#tech,2020-08-01 12:00:00
2,2,#travel,2020-08-02 13:00:00
3,3,#nature,2020-08-03 14:00:00
4,4,#food,2020-08-04 15:00:00
5,5,#fitness,2020-08-05 16:00:00
6,6,#fashion,2020-08-06 17:00:00
7,7,#sports,2020-08-07 18:00:00
8,8,#animals,2020-08-08 19:00:00
9,9,#art,2020-08-09 20:00:00
10,10,#music,2020-08-10 21:00:00
11,11,#photography,2020-08-11 22:00:00
12,12,#DIY,2020-08-12 23:00:00
13,13,#gardening,2020-08-13 00:00:00
14,14,#crafts,2020-08-14 01:00:00
15,15,#gaming,2020-08-15 02:00:00
16,16,#books,2020-08-16 03:00:00
17,17,#cars,2020-08-17 04:00:00
18,18,#cooking,2020-08-18 05:00:00
19,19,#comedy,2020-08-19 06:00:00
20,20,#vacation,2020-08-20 07:00:00
