
Reaction_id,Post_id,User_id,Type of reaction,Timestamp
1,1,3,Like,2020-05-01 10:00:00
2,2,4,Comment,2020-05-02 11:00:00
3,3,7,Share,2020-05-03 12:00:00
4,4,2,Like,2020-05-04 13:00:00
5,5,1,Comment,2020-05-05 14:00:00
6,6,5,Share,2020-05-06 15:00:00
7,7,3,Like,2020-05-07 16:00:00
8,8,4,Comment,2020-05-08 17:00:00
9,9,7,Share,2020-05-09 18:00:00
10,10,2,Like,2020-05-10 19:00:00
11,1,5,Comment,2020-05-11 20:00:00
12,2,1,Share,2020-05-12 21:00:00
13,3,3,Like,2020-05-13 22:00:00
14,4,4,Comment,2020-05-14 23:00:00
15,5,7,Share,2020-05-15 00:00:00
16,6,2,Like,2020-05-16 01:00:00
17,7,5,Comment,2020-05-17 02:00:00
18,8,1,Share,2020-05-18 03:00:00
19,9,3,Like,2020-05-19 04:00:00
20,10,4,Comment,2020-05-20 05:00:00
