
Unit_ID,Unit_Number,Cost,Manufacturing_Site_ID,Timestamp
1,9,150.50,3,2020-06-10 16:00:00
2,10,155.25,1,2020-06-11 12:00:00
3,7,130.00,2,2020-06-12 18:00:00
4,11,165.75,3,2020-06-13 14:00:00
5,8,140.50,1,2020-06-14 10:00:00
6,12,175.25,2,2020-06-15 16:00:00
7,9,150.50,3,2020-06-16 12:00:00
8,10,155.25,1,2020-06-17 18:00:00
9,7,130.00,2,2020-06-18 14:00:00
10,11,165.75,3,2020-06-19 10:00:00
11,8,140.50,1,2020-06-20 16:00:00
12,12,175.25,2,2020-06-21 12:00:00
13,9,150.50,3,2020-06-22 18:00:00
14,10,155.25,1,2020-06-23 14:00:00
15,7,130.00,2,2020-06-24 10:00:00
16,11,165.75,3,2020-06-25 16:00:00
17,8,140.50,1,2020-06-26 12:00:00
18,12,175.25,2,2020-06-27 18:00:00
19,9,150.50,3,2020-06-28 14:00:00
20,10,155.25,1,2020-06-29 10:00:00
