
society_id,society_name,description,impact_id,timestamp
1,Society of Workers,A society of workers who advocate for better wages and working conditions,1,2012-11-20 12:00:00
2,Society of Environmentalists,A society of environmentalists who advocate for the protection of the environment,2,2012-11-20 12:00:00
3,Society of Educators,A society of educators who advocate for better education systems,3,2012-11-20 12:00:00
4,Society of Entrepreneurs,A society of entrepreneurs who advocate for the development of new businesses and industries,4,2012-11-20 12:00:00
5,Society of Social Activists,A society of social activists who advocate for social justice,5,2012-11-20 12:00:00
6,Society of Healthcare Professionals,A society of healthcare professionals who advocate for better healthcare,6,2012-11-20 12:00:00
7,Society of Technologists,A society of technologists who advocate for the advancement of technology,7,2012-11-20 12:00:00
8,Society of Humanitarians,A society of humanitarians who advocate for humanitarian causes,8,2012-11-20 12:00:00
9,Society of Artists,A society of artists who advocate for the appreciation of art,9,2012-11-20 12:00:00
10,Society of Scientists,A society of scientists who advocate for the advancement of science,10,2012-11-20 12:00:00
11,Society of Journalists,A society of journalists who advocate for press freedom,11,2012-11-20 12:00:00
12,Society of Economists,A society of economists who advocate for economic reform,12,2012-11-20 12:00:00
13,Society of Lawyers,A society of lawyers who advocate for the rule of law,13,2012-11-20 12:00:00
14,Society of Historians,A society of historians who advocate for the preservation of history,14,2012-11-20 12:00:00
15,Society of Activists,A society of activists who advocate for political change,15,2012-11-20 12:00:00
16,Society of Human Rights Advocates,A society of human rights advocates who advocate for the protection of human rights,16,2012-11-20 12:00:00
17,Society of Social Workers,A society of social workers who advocate for social welfare,17,2012-11-20 12:00:00
18,Society of Philanthropists,A society of philanthropists who advocate for charitable causes,18,2012-11-20 12:00:00
19,Society of Business Leaders,A society of business leaders who advocate for economic growth,19,2012-11-20 12:00:00
20,Society of Citizens,A society of citizens who advocate for civic participation,20,2012-11-20 12:00:00
