

Part Number,Description,Quantity in Stock,Cost per Unit,Repair Log Table FK,Created,Updated
P1,Fan Belt,50,5.00,RL1,2020-05-01 10:00:00,2020-05-01 10:00:00
P2,Radiator Hose,15,7.00,RL2,2020-05-01 10:00:00,2020-05-01 10:00:00
P3,Spark Plug,30,4.00,RL3,2020-05-01 10:00:00,2020-05-01 10:00:00
P4,Brake Pads,25,8.00,RL4,2020-05-01 10:00:00,2020-05-01 10:00:00
P5,Oil Filter,20,3.00,RL5,2020-05-01 10:00:00,2020-05-01 10:00:00
P6,Air Filter,10,2.00,RL6,2020-05-01 10:00:00,2020-05-01 10:00:00
P7,Fuel Pump,5,15.00,RL7,2020-05-01 10:00:00,2020-05-01 10:00:00
P8,Alternator,12,25.00,RL8,2020-05-01 10:00:00,2020-05-01 10:00:00
P9,Wheel Bearing,8,20.00,RL9,2020-05-01 10:00:00,2020-05-01 10:00:00
P10,Battery,4,30.00,RL10,2020-05-01 10:00:00,2020-05-01 10:00:00
P11,Clutch Kit,3,35.00,RL11,2020-05-01 10:00:00,2020-05-01 10:00:00
P12,Timing Belt,6,15.00,RL12,2020-05-01 10:00:00,2020-05-01 10:00:00
P13,Head Gasket,2,25.00,RL13,2020-05-01 10:00:00,2020-05-01 10:00:00
P14,Water Pump,10,20.00,RL14,2020-05-01 10:00:00,2020-05-01 10:00:00
P15,Starter Motor,2,30.00,RL15,2020-05-01 10:00:00,2020-05-01 10:00:00
P16,Brake Discs,4,35.00,RL16,2020-05-01 10:00:00,2020-05-01 10:00:00
P17,Oil Pan,5,15.00,RL17,2020-05-01 10:00:00,2020-05-01 10:00:00
P18,Exhaust Manifold,3,25.00,RL18,2020-05-01 10:00:00,2020-05-01 10:00:00
P19,Windshield Wiper,7,20.00,RL19,2020-05-01 10:00:00,2020-05-01 10:00:00
P20,Transmission Fluid,6,30.00,RL20,2020-05-01 10:00:00,2020-05-01 10:00:00
