

Instrument_ID,Instrument_Name,Exchange,Currency,Timestamp
1,ABC Stock,NYSE,USD,2020-08-22T09:45:00
2,DEF Stock,NASDAQ,USD,2020-08-22T10:15:00
3,GHI Stock,LSE,GBP,2020-08-22T10:30:00
4,JKL Stock,NYSE,USD,2020-08-22T11:00:00
5,MNO Stock,NASDAQ,USD,2020-08-22T11:30:00
6,PQR Stock,LSE,GBP,2020-08-22T12:00:00
7,STU Stock,NYSE,USD,2020-08-22T12:30:00
8,VWX Stock,NASDAQ,USD,2020-08-22T13:00:00
9,YZ Stock,LSE,GBP,2020-08-22T13:30:00
10,ABCD Stock,NYSE,USD,2020-08-22T14:00:00
11,EFGH Stock,NASDAQ,USD,2020-08-22T14:30:00
12,IJKL Stock,LSE,GBP,2020-08-22T15:00:00
13,MNOP Stock,NYSE,USD,2020-08-22T15:30:00
14,QRST Stock,NASDAQ,USD,2020-08-22T16:00:00
15,UVWX Stock,LSE,GBP,2020-08-22T16:30:00
16,YZAB Stock,NYSE,USD,2020-08-22T17:00:00
17,CDEF Stock,NASDAQ,USD,2020-08-22T17:30:00
18,GHIJ Stock,LSE,GBP,2020-08-22T18:00:00
19,KLMN Stock,NYSE,USD,2020-08-22T18:30:00
20,OPQR Stock,NASDAQ,USD,2020-08-22T19:00:00
