
Trade_ID,Order_Type,Time_Executed,Quantity,Price,Profit/Loss,Timestamp
1,Buy,09:00,100,10.25,0,2020-09-01 09:00:00
2,Sell,09:05,50,10.50,-12.50,2020-09-01 09:05:00
3,Buy,09:10,150,10.10,0,2020-09-01 09:10:00
4,Sell,09:15,75,10.75,18.75,2020-09-01 09:15:00
5,Buy,09:20,25,11.25,0,2020-09-01 09:20:00
6,Sell,09:25,100,11.00,25.00,2020-09-01 09:25:00
7,Buy,09:30,200,10.50,0,2020-09-01 09:30:00
8,Sell,09:35,150,10.75,-22.50,2020-09-01 09:35:00
9,Buy,09:40,50,11.50,0,2020-09-01 09:40:00
10,Sell,09:45,25,11.25,6.25,2020-09-01 09:45:00
11,Buy,09:50,100,10.75,0,2020-09-01 09:50:00
12,Sell,09:55,50,11.00,-12.50,2020-09-01 09:55:00
13,Buy,10:00,150,10.50,0,2020-09-01 10:00:00
14,Sell,10:05,100,10.75,-25.00,2020-09-01 10:05:00
15,Buy,10:10,50,11.25,0,2020-09-01 10:10:00
16,Sell,10:15,25,11.00,6.25,2020-09-01 10:15:00
17,Buy,10:20,100,10.50,0,2020-09-01 10:20:00
18,Sell,10:25,50,10.75,12.50,2020-09-01 10:25:00
19,Buy,10:30,150,10.25,0,2020-09-01 10:30:00
20,Sell,10:35,75,10.50,18.75,2020-09-01 10:35:00
