
Borrower ID,Credit Score,Credit History Length,Debt-to-Income Ratio,Time Created
1,719,2 years,0.33,2020-07-01 10:00:00
2,660,1 year,0.25,2020-07-02 11:00:00
3,720,3 years,0.45,2020-07-03 12:00:00
4,785,4 years,0.15,2020-07-04 13:00:00
5,640,5 years,0.35,2020-07-05 14:00:00
6,730,6 years,0.25,2020-07-06 15:00:00
7,680,7 years,0.45,2020-07-07 16:00:00
8,790,8 years,0.15,2020-07-08 17:00:00
9,620,9 years,0.25,2020-07-09 18:00:00
10,750,10 years,0.45,2020-07-10 19:00:00
11,800,11 years,0.35,2020-07-11 20:00:00
12,650,12 years,0.25,2020-07-12 21:00:00
13,710,13 years,0.45,2020-07-13 22:00:00
14,790,14 years,0.15,2020-07-14 23:00:00
15,610,15 years,0.25,2020-07-15 00:00:00
16,740,16 years,0.45,2020-07-16 01:00:00
17,810,17 years,0.35,2020-07-17 02:00:00
18,670,18 years,0.25,2020-07-18 03:00:00
19,720,19 years,0.45,2020-07-19 04:00:00
20,800,20 years,0.15,2020-07-20 05:00:00
