
Loan ID,Default Date,Reason for Default,Amount Unpaid at Default Date,Time Created
1,2021-01-05,Late Payment,$25,000,2021-01-01 12:00:00
2,2021-02-15,Bankruptcy,$50,000,2021-01-02 12:00:00
3,2021-03-01,Loss of Job,$75,000,2021-01-03 12:00:00
4,2021-03-15,Death of Borrower,$100,000,2021-01-04 12:00:00
5,2021-04-05,Illness,$125,000,2021-01-05 12:00:00
6,2021-05-15,Divorce,$150,000,2021-01-06 12:00:00
7,2021-06-01,Unemployment,$175,000,2021-01-07 12:00:00
8,2021-06-15,Relocation,$200,000,2021-01-08 12:00:00
9,2021-07-05,Lack of Funds,$225,000,2021-01-09 12:00:00
10,2021-08-15,Loss of Security,$250,000,2021-01-10 12:00:00
11,2021-09-01,Mismanagement,$275,000,2021-01-11 12:00:00
12,2021-09-15,Fraud,$300,000,2021-01-12 12:00:00
13,2021-10-05,Mortgage Default,$325,000,2021-01-13 12:00:00
14,2021-11-15,Credit Card Default,$350,000,2021-01-14 12:00:00
15,2021-12-01,Foreclosure,$375,000,2021-01-15 12:00:00
16,2021-12-15,Bankruptcy,$400,000,2021-01-16 12:00:00
17,2022-01-05,Late Payment,$425,000,2021-01-17 12:00:00
18,2022-02-15,Loss of Job,$450,000,2021-01-18 12:00:00
19,2022-03-01,Death of Borrower,$475,000,2021-01-19 12:00:00
20,2022-03-15,Illness,$500,000,2021-01-20 12:00:00
