
Loan ID,Repayment Schedule,Interest Rate,Total Amount Owed,Minimum Payment Amount,Time Created
1,Monthly,3.5%,$7000,$100,2020-04-01 12:00:00
2,Bi-Weekly,4.2%,$8000,$150,2020-04-02 13:00:00
3,Weekly,3.9%,$9000,$200,2020-04-03 14:00:00
4,Monthly,4.3%,$10000,$250,2020-04-04 15:00:00
5,Bi-Weekly,3.6%,$11000,$300,2020-04-05 16:00:00
6,Weekly,4.1%,$12000,$350,2020-04-06 17:00:00
7,Monthly,3.7%,$13000,$400,2020-04-07 18:00:00
8,Bi-Weekly,4.4%,$14000,$450,2020-04-08 19:00:00
9,Weekly,3.8%,$15000,$500,2020-04-09 20:00:00
10,Monthly,4.5%,$16000,$550,2020-04-10 21:00:00
11,Bi-Weekly,3.5%,$17000,$600,2020-04-11 22:00:00
12,Weekly,4.2%,$18000,$650,2020-04-12 23:00:00
13,Monthly,3.9%,$19000,$700,2020-04-13 00:00:00
14,Bi-Weekly,4.3%,$20000,$750,2020-04-14 01:00:00
15,Weekly,3.6%,$21000,$800,2020-04-15 02:00:00
16,Monthly,4.1%,$22000,$850,2020-04-16 03:00:00
17,Bi-Weekly,3.7%,$23000,$900,2020-04-17 04:00:00
18,Weekly,4.4%,$24000,$950,2020-04-18 05:00:00
19,Monthly,3.8%,$25000,$1000,2020-04-19 06:00:00
20,Bi-Weekly,4.5%,$26000,$1050,2020-04-20 07:00:00
