
Factor Type,Start Date,End Date,Impact on Yawn Frequency,Foreign Key to Yawning Frequency Data Table,Timestamp
Stress Level,1/1/20,1/15/20,High,1,1/15/20
Sleep Deprivation,1/16/20,1/31/20,Low,2,1/31/20
Exercise Level,2/1/20,2/15/20,Medium,3,2/15/20
Temperature,2/16/20,2/28/20,High,4,2/28/20
Light Exposure,3/1/20,3/15/20,Low,5,3/15/20
Noise Level,3/16/20,3/31/20,Medium,6,3/31/20
Caffeine Intake,4/1/20,4/15/20,High,7,4/15/20
Alcohol Intake,4/16/20,4/30/20,Low,8,4/30/20
Hormone Levels,5/1/20,5/15/20,Medium,9,5/15/20
Medication Usage,5/16/20,5/31/20,High,10,5/31/20
Social Interaction,6/1/20,6/15/20,Low,11,6/15/20
Dietary Habits,6/16/20,6/30/20,Medium,12,6/30/20
Sleep Quality,7/1/20,7/15/20,High,13,7/15/20
Workload,7/16/20,7/31/20,Low,14,7/31/20
Time of Day,8/1/20,8/15/20,Medium,15,8/15/20
Air Quality,8/16/20,8/31/20,High,16,8/31/20
Seasonal Changes,9/1/20,9/15/20,Low,17,9/15/20
Illness,9/16/20,9/30/20,Medium,18,9/30/20
Age,10/1/20,10/15/20,High,19,10/15/20
Gender,10/16/20,10/31/20,Low,20,10/31/20
