
Individual ID,Start Date,End Date,Stress Level,Foreign Key to Yawning Frequency Data Table,Timestamp
1,2020-04-14,2020-04-17,High,YF1,2020-04-15 15:30:00
2,2020-04-17,2020-04-20,Medium,YF2,2020-04-17 19:15:00
3,2020-04-20,2020-04-23,Low,YF3,2020-04-21 08:45:00
4,2020-04-23,2020-04-26,High,YF4,2020-04-24 12:30:00
5,2020-04-26,2020-04-29,Low,YF5,2020-04-27 16:15:00
6,2020-04-29,2020-05-02,Medium,YF6,2020-04-30 20:00:00
7,2020-05-02,2020-05-05,High,YF7,2020-05-03 23:45:00
8,2020-05-05,2020-05-08,Low,YF8,2020-05-06 03:30:00
9,2020-05-08,2020-05-11,Medium,YF9,2020-05-09 07:15:00
10,2020-05-11,2020-05-14,High,YF10,2020-05-12 11:00:00
11,2020-05-14,2020-05-17,Low,YF11,2020-05-15 14:45:00
12,2020-05-17,2020-05-20,Medium,YF12,2020-05-18 18:30:00
13,2020-05-20,2020-05-23,High,YF13,2020-05-21 22:15:00
14,2020-05-23,2020-05-26,Low,YF14,2020-05-24 02:00:00
15,2020-05-26,2020-05-29,Medium,YF15,2020-05-27 05:45:00
16,2020-05-29,2020-06-01,High,YF16,2020-05-30 09:30:00
17,2020-06-01,2020-06-04,Low,YF17,2020-06-02 13:15:00
18,2020-06-04,2020-06-07,Medium,YF18,2020-06-05 17:00:00
19,2020-06-07,2020-06-10,High,YF19,2020-06-08 20:45:00
20,2020-06-10,2020-06-13,Low,YF20,2020-06-11 00:30:00
