
Category Name,Description,Timestamp
Clothing,Goods and services related to clothing,2020-02-01
Food,Goods and services related to food,2020-02-01
Transportation,Goods and services related to transportation,2020-02-01
Housing,Goods and services related to housing,2020-02-01
Medical Care,Goods and services related to medical care,2020-02-01
Recreation,Goods and services related to recreation,2020-02-01
Education,Goods and services related to education,2020-02-01
Apparel,Goods and services related to apparel,2020-02-01
Tobacco,Goods and services related to tobacco,2020-02-01
Alcohol,Goods and services related to alcohol,2020-02-01
Personal Care,Goods and services related to personal care,2020-02-01
Furnishings,Goods and services related to furnishings,2020-02-01
Communication,Goods and services related to communication,2020-02-01
Utilities,Goods and services related to utilities,2020-02-01
Insurance,Goods and services related to insurance,2020-02-01
Financial Services,Goods and services related to financial services,2020-02-01
Miscellaneous,Goods and services related to miscellaneous goods and services,2020-02-01
Restaurants,Goods and services related to restaurants,2020-02-01
Entertainment,Goods and services related to entertainment,2020-02-01
