
Region,Inflation Rate (% change in CPI year-over-year),Date of Inflation Rate Calculation,Timestamp
North America,1.25,2020-01-01,2020-05-01 00:00:00
North America,2.50,2020-02-01,2020-05-01 00:00:00
North America,2.00,2020-03-01,2020-05-01 00:00:00
North America,3.00,2020-04-01,2020-05-01 00:00:00
Europe,1.50,2020-01-01,2020-05-01 00:00:00
Europe,2.75,2020-02-01,2020-05-01 00:00:00
Europe,1.75,2020-03-01,2020-05-01 00:00:00
Europe,3.25,2020-04-01,2020-05-01 00:00:00
Asia,2.00,2020-01-01,2020-05-01 00:00:00
Asia,3.50,2020-02-01,2020-05-01 00:00:00
Asia,2.50,2020-03-01,2020-05-01 00:00:00
Asia,4.00,2020-04-01,2020-05-01 00:00:00
South America,1.00,2020-01-01,2020-05-01 00:00:00
South America,2.50,2020-02-01,2020-05-01 00:00:00
South America,1.50,2020-03-01,2020-05-01 00:00:00
South America,3.00,2020-04-01,2020-05-01 00:00:00
Africa,1.25,2020-01-01,2020-05-01 00:00:00
Africa,2.75,2020-02-01,2020-05-01 00:00:00
Africa,2.00,2020-03-01,2020-05-01 00:00:00
Africa,3.50,2020-04-01,2020-05-01 00:00:00
