
Region Name,Country/Area Name,Population Size,Timestamp
East Coast,United States,25000000,2020-08-27 17:30:00
Southeast Asia,Singapore,5500000,2020-08-27 17:30:00
Southern Europe,Italy,60000000,2020-08-27 17:30:00
Eastern Europe,Russia,140000000,2020-08-27 17:30:00
Western Europe,France,67000000,2020-08-27 17:30:00
Northern Europe,Finland,5500000,2020-08-27 17:30:00
Central Asia,Kazakhstan,18000000,2020-08-27 17:30:00
North America,Canada,37000000,2020-08-27 17:30:00
Caribbean,Jamaica,2800000,2020-08-27 17:30:00
South America,Brazil,211000000,2020-08-27 17:30:00
West Coast,United States,40000000,2020-08-27 17:30:00
East Africa,Kenya,52000000,2020-08-27 17:30:00
West Africa,Ghana,30000000,2020-08-27 17:30:00
Central Africa,Congo,82000000,2020-08-27 17:30:00
South Africa,South Africa,58000000,2020-08-27 17:30:00
Central America,Mexico,120000000,2020-08-27 17:30:00
Middle East,Iran,83000000,2020-08-27 17:30:00
North Africa,Egypt,97000000,2020-08-27 17:30:00
Oceania,Australia,25000000,2020-08-27 17:30:00
Indian Subcontinent,India,1345000000,2020-08-27 17:30:00
