

Menu Item ID,Party ID,Menu Item Name,Type,Cost per Serving
1,1,Chips & Salsa,Appetizer,$2.00
2,1,Veggie Tray,Appetizer,$4.00
3,1,Fried Chicken,Main Course,$6.00
4,1,Mac & Cheese,Main Course,$5.00
5,1,Fruit Salad,Dessert,$3.00
6,1,Cheesecake,Dessert,$4.00
7,1,Cocktails,Drink,$5.00
8,1,Beer,Drink,$3.00
9,2,Veggie Pizza,Appetizer,$3.00
10,2,Cheese Platter,Appetizer,$4.00
11,2,Salmon,Main Course,$7.00
12,2,Pasta,Main Course,$6.00
13,2,Ice Cream,Dessert,$4.00
14,2,Chocolate Cake,Dessert,$5.00
15,2,Mimosas,Drink,$6.00
16,2,Wine,Drink,$4.00
17,3,Chips & Guacamole,Appetizer,$3.00
18,3,Crudité,Appetizer,$5.00
19,3,BBQ Ribs,Main Course,$8.00
20,3,Grilled Vegetables,Main Course,$7.00
