
Payment ID,Party ID,Payment Type,Amount Paid,Date Paid
1,1,Cash,50.00,2020-08-05 12:00:00
2,1,Venmo,35.00,2020-08-07 15:00:00
3,2,Credit Card,125.00,2020-08-10 17:00:00
4,2,Cash,100.00,2020-08-11 21:00:00
5,3,Venmo,75.00,2020-08-13 19:00:00
6,3,Credit Card,50.00,2020-08-14 11:00:00
7,4,Cash,200.00,2020-08-15 14:00:00
8,4,Venmo,175.00,2020-08-16 16:00:00
9,5,Credit Card,150.00,2020-08-17 19:00:00
10,5,Cash,125.00,2020-08-18 21:00:00
11,6,Venmo,75.00,2020-08-19 12:00:00
12,6,Credit Card,50.00,2020-08-20 15:00:00
13,7,Cash,200.00,2020-08-21 17:00:00
14,7,Venmo,175.00,2020-08-22 21:00:00
15,8,Credit Card,150.00,2020-08-23 19:00:00
16,8,Cash,125.00,2020-08-24 11:00:00
17,9,Venmo,75.00,2020-08-25 14:00:00
18,9,Credit Card,50.00,2020-08-26 16:00:00
19,10,Cash,200.00,2020-08-27 19:00:00
20,10,Venmo,175.00,2020-08-28 21:00:00
