
Component ID,Component Type ID,Component Name,Date Created
1,1,Flux Capacitor,2020-01-01 00:00:00
2,2,Thermal Reactor,2020-01-02 00:00:00
3,3,Pressure Sensor,2020-01-03 00:00:00
4,4,Flow Meter,2020-01-04 00:00:00
5,5,Heat Exchanger,2020-01-05 00:00:00
6,6,Coolant Pump,2020-01-06 00:00:00
7,7,Thermocouple,2020-01-07 00:00:00
8,8,Temperature Controller,2020-01-08 00:00:00
9,9,Level Sensor,2020-01-09 00:00:00
10,10,Valve,2020-01-10 00:00:00
11,11,Filter,2020-01-11 00:00:00
12,12,Pressure Relief Valve,2020-01-12 00:00:00
13,13,Flow Control Valve,2020-01-13 00:00:00
14,14,Mixing Tank,2020-01-14 00:00:00
15,15,Agitator,2020-01-15 00:00:00
16,16,Pressure Gauge,2020-01-16 00:00:00
17,17,Flow Switch,2020-01-17 00:00:00
18,18,Heat Exchanger Coil,2020-01-18 00:00:00
19,19,Thermal Insulation,2020-01-19 00:00:00
20,20,Thermometer,2020-01-20 00:00:00
