
Maintenance Record ID,Reactor ID,Service Performed,Date Performed
1,R-1,Inspect Components,2021-01-02 12:00:00
2,R-2,Replace Parts,2021-02-03 13:00:00
3,R-3,Clean Reactor,2021-03-04 14:00:00
4,R-4,Check for Leaks,2021-04-05 15:00:00
5,R-5,Test Systems,2021-05-06 16:00:00
6,R-6,Calibrate Instruments,2021-06-07 17:00:00
7,R-7,Inspect Components,2021-07-08 18:00:00
8,R-8,Replace Parts,2021-08-09 19:00:00
9,R-9,Clean Reactor,2021-09-10 20:00:00
10,R-10,Check for Leaks,2021-10-11 21:00:00
11,R-11,Test Systems,2021-11-12 22:00:00
12,R-12,Calibrate Instruments,2021-12-13 23:00:00
13,R-13,Inspect Components,2022-01-14 00:00:00
14,R-14,Replace Parts,2022-02-15 01:00:00
15,R-15,Clean Reactor,2022-03-16 02:00:00
16,R-16,Check for Leaks,2022-04-17 03:00:00
17,R-17,Test Systems,2022-05-18 04:00:00
18,R-18,Calibrate Instruments,2022-06-19 05:00:00
19,R-19,Inspect Components,2022-07-20 06:00:00
20,R-20,Replace Parts,2022-08-21 07:00:00
