
Reactor ID,Energy Output (kWh),Temperature (Kelvin),Efficiency (%),Date Collected
1,6.3,355.2,71.8,2020-07-25 13:30:00
2,8.2,400.7,78.1,2020-07-25 13:45:00
3,9.6,372.9,80.2,2020-07-25 14:00:00
4,6.9,387.1,72.3,2020-07-25 14:15:00
5,7.1,401.8,75.2,2020-07-25 14:30:00
6,5.2,374.4,67.4,2020-07-25 14:45:00
7,8.4,386.2,79.1,2020-07-25 15:00:00
8,9.7,410.1,81.2,2020-07-25 15:15:00
9,6.1,354.3,70.9,2020-07-25 15:30:00
10,7.8,393.6,77.1,2020-07-25 15:45:00
11,9.2,367.2,79.4,2020-07-25 16:00:00
12,6.5,401.1,73.2,2020-07-25 16:15:00
13,7.4,375.4,76.1,2020-07-25 16:30:00
14,8.3,389.9,78.4,2020-07-25 16:45:00
15,9.5,414.2,81.3,2020-07-25 17:00:00
16,6.7,353.7,72.1,2020-07-25 17:15:00
17,7.6,388.8,75.9,2020-07-25 17:30:00
18,8.9,373.3,80.3,2020-07-25 17:45:00
19,9.8,407.1,82.2,2020-07-25 18:00:00
20,6.2,402.6,71.2,2020-07-25 18:15:00
