

pair_id,species_id,habitat_id,date_observed,number_of_owls,nesting_status,timestamp
1,1,1,2020-01-01,2,true,2020-01-01 12:00:00
2,2,2,2020-02-02,3,false,2020-02-02 13:00:00
3,3,3,2020-03-03,2,true,2020-03-03 14:00:00
4,4,4,2020-04-04,4,false,2020-04-04 15:00:00
5,5,5,2020-05-05,3,true,2020-05-05 16:00:00
6,6,6,2020-06-06,2,false,2020-06-06 17:00:00
7,1,2,2020-07-07,3,true,2020-07-07 18:00:00
8,2,3,2020-08-08,4,false,2020-08-08 19:00:00
9,3,4,2020-09-09,2,true,2020-09-09 20:00:00
10,4,5,2020-10-10,3,false,2020-10-10 21:00:00
11,5,1,2020-11-11,2,true,2020-11-11 22:00:00
12,6,2,2020-12-12,4,false,2020-12-12 23:00:00
13,1,3,2021-01-01,3,true,2021-01-01 00:00:00
14,2,4,2021-02-02,2,false,2021-02-02 01:00:00
15,3,5,2021-03-03,4,true,2021-03-03 02:00:00
16,4,1,2021-04-04,3,false,2021-04-04 03:00:00
17,5,2,2021-05-05,2,true,2021-05-05 04:00:00
18,6,3,2021-06-06,4,false,2021-06-06 05:00:00
19,1,4,2021-07-07,3,true,2021-07-07 06:00:00
20,2,5,2021-08-08,2,false,2021-08-08 07:00:00
