

habitat_id,latitude,longitude,elevation,temperature,precipitation,vegetation_type,timestamp
1,42.843,-75.826,1250,30.2,21.6,coniferous,2020-06-03T15:00:00
2,41.945,-74.738,1400,29.1,24.6,mixed,2020-06-03T15:00:00
3,40.739,-73.944,1050,29.4,19.2,deciduous,2020-06-03T15:00:00
4,39.902,-73.521,900,27.6,14.8,mixed,2020-06-03T15:00:00
5,38.912,-73.071,650,25.2,18.2,coniferous,2020-06-03T15:00:00
6,37.867,-72.814,400,24.7,15.2,deciduous,2020-06-03T15:00:00
7,36.898,-72.619,250,22.9,12.4,coniferous,2020-06-03T15:00:00
8,35.847,-72.453,100,20.6,10.6,mixed,2020-06-03T15:00:00
9,34.817,-72.272,50,18.7,9.2,deciduous,2020-06-03T15:00:00
10,33.821,-72.077,-50,17.2,8.1,coniferous,2020-06-03T15:00:00
11,32.846,-71.872,-100,15.5,7.3,mixed,2020-06-03T15:00:00
12,31.874,-71.674,-250,13.9,6.5,deciduous,2020-06-03T15:00:00
13,30.921,-71.459,-400,12.3,5.8,coniferous,2020-06-03T15:00:00
14,29.979,-71.237,-650,10.7,5.3,mixed,2020-06-03T15:00:00
15,29.051,-71.006,-900,9.2,4.7,deciduous,2020-06-03T15:00:00
16,28.132,-70.762,-1250,7.7,4.2,coniferous,2020-06-03T15:00:00
17,27.232,-70.513,-1400,6.3,3.8,mixed,2020-06-03T15:00:00
18,26.348,-70.253,-1650,4.9,3.4,deciduous,2020-06-03T15:00:00
19,25.481,-69.988,-1900,3.5,3.0,coniferous,2020-06-03T15:00:00
20,24.629,-69.716,-2150,2.2,2.7,mixed,2020-06-03T15:00:00
