
sighting_id,species_id,habitat_id,date_sighted,time_sighted,notes,timestamp
1,1,1,1/1/2020,7:00 PM,"Saw a Great Horned Owl perched in a tree",1577884400
2,2,1,1/2/2020,7:30 PM,"Saw a Barn Owl flying through the woods",1577974400
3,3,2,1/3/2020,8:00 PM,"Saw a Barred Owl perched in a tree",1578060800
4,4,2,1/4/2020,8:30 PM,"Saw a Long-eared Owl perched in a tree",1578147200
5,5,1,1/5/2020,9:00 PM,"Saw a Short-eared Owl flying through the woods",1578233600
6,6,2,1/6/2020,9:30 PM,"Saw a Northern Saw-whet Owl perched in a tree",1578319600
7,7,1,1/7/2020,10:00 PM,"Saw a Snowy Owl perched in a tree",1578406000
8,8,2,1/8/2020,10:30 PM,"Saw a Burrowing Owl perched in a tree",1578492400
9,9,1,1/9/2020,11:00 PM,"Saw a Screech Owl perched in a tree",1578578800
10,10,2,1/10/2020,11:30 PM,"Saw a Spotted Owl perched in a tree",1578665200
11,11,1,1/11/2020,12:00 AM,"Saw a Long-eared Owl flying through the woods",1578751600
12,12,2,1/12/2020,12:30 AM,"Saw a Great Grey Owl perched in a tree",1578838000
13,13,1,1/13/2020,1:00 AM,"Saw a Barn Owl perched in a tree",1578924400
14,14,2,1/14/2020,1:30 AM,"Saw a Northern Hawk Owl perched in a tree",1579010800
15,15,1,1/15/2020,2:00 AM,"Saw a Tawny Owl perched in a tree",1579097200
16,16,2,1/16/2020,2:30 AM,"Saw a Snowy Owl flying through the woods",1579183600
17,17,1,1/17/2020,3:00 AM,"Saw a Short-eared Owl perched in a tree",1579270000
18,18,2,1/18/2020,3:30 AM,"Saw a Burrowing Owl flying through the woods",1579356400
19,19,1,1/19/2020,4:00 AM,"Saw a Great Horned Owl flying through the woods",1579442800
20,20,2,1/20/2020,4:30 AM,"Saw a Barred Owl flying through the woods",1579529200
