
predator_id,species_id,habitat_id,predator_type,population_size,activity_level,timestamp
1,1,1,Fox,25,High,2020-05-01
2,1,1,Coyote,30,Medium,2020-05-02
3,1,2,Fox,20,Low,2020-05-03
4,1,2,Coyote,45,High,2020-05-04
5,2,1,Fox,40,Medium,2020-05-05
6,2,1,Coyote,50,Low,2020-05-06
7,2,2,Fox,35,High,2020-05-07
8,2,2,Coyote,60,Medium,2020-05-08
9,3,1,Fox,30,Low,2020-05-09
10,3,1,Coyote,25,High,2020-05-10
11,3,2,Fox,45,Medium,2020-05-11
12,3,2,Coyote,35,Low,2020-05-12
13,4,1,Fox,50,High,2020-05-13
14,4,1,Coyote,40,Medium,2020-05-14
15,4,2,Fox,55,Low,2020-05-15
16,4,2,Coyote,50,High,2020-05-16
17,5,1,Fox,60,Medium,2020-05-17
18,5,1,Coyote,65,Low,2020-05-18
19,5,2,Fox,70,High,2020-05-19
20,5,2,Coyote,75,Medium,2020-05-20
