
prey_id,species_id,habitat_id,prey_type,abundance,availability,timestamp
1,1,1,Mice,High,Good,2020-01-01
2,1,1,Rabbits,Medium,Good,2020-01-02
3,1,1,Squirrels,Low,Good,2020-01-03
4,1,2,Mice,High,Poor,2020-01-04
5,1,2,Rabbits,Low,Good,2020-01-05
6,1,2,Squirrels,High,Good,2020-01-06
7,2,1,Mice,Low,Good,2020-01-07
8,2,1,Rabbits,High,Good,2020-01-08
9,2,1,Squirrels,Medium,Good,2020-01-09
10,2,2,Mice,High,Poor,2020-01-10
11,2,2,Rabbits,Low,Good,2020-01-11
12,2,2,Squirrels,High,Good,2020-01-12
13,3,1,Mice,Low,Good,2020-01-13
14,3,1,Rabbits,High,Good,2020-01-14
15,3,1,Squirrels,Medium,Good,2020-01-15
16,3,2,Mice,High,Poor,2020-01-16
17,3,2,Rabbits,Low,Good,2020-01-17
18,3,2,Squirrels,High,Good,2020-01-18
19,4,1,Mice,Low,Good,2020-01-19
20,4,1,Rabbits,High,Good,2020-01-20
