
Duration ID, Partner ID, Start Date of Partnership, End Date of Partnership, Timestamp
1, 1, 01/01/2020, 01/01/2022, 01/01/2020
2, 2, 01/02/2020, 01/02/2021, 01/02/2020
3, 3, 01/03/2020, 01/03/2022, 01/03/2020
4, 4, 01/04/2020, 01/04/2021, 01/04/2020
5, 5, 01/05/2020, 01/05/2022, 01/05/2020
6, 6, 01/06/2020, 01/06/2021, 01/06/2020
7, 7, 01/07/2020, 01/07/2022, 01/07/2020
8, 8, 01/08/2020, 01/08/2021, 01/08/2020
9, 9, 01/09/2020, 01/09/2022, 01/09/2020
10, 10, 01/10/2020, 01/10/2021, 01/10/2020
11, 11, 01/11/2020, 01/11/2022, 01/11/2020
12, 12, 01/12/2020, 01/12/2021, 01/12/2020
13, 13, 01/13/2020, 01/13/2022, 01/13/2020
14, 14, 01/14/2020, 01/14/2021, 01/14/2020
15, 15, 01/15/2020, 01/15/2022, 01/15/2020
16, 16, 01/16/2020, 01/16/2021, 01/16/2020
17, 17, 01/17/2020, 01/17/2022, 01/17/2020
18, 18, 01/18/2020, 01/18/2021, 01/18/2020
19, 19, 01/19/2020, 01/19/2022, 01/19/2020
20, 20, 01/20/2020, 01/20/2021, 01/20/2020
