
Metric ID,Partner ID,Service Level Agreement Metrics,Response Time Metrics,Quality Metrics,Timestamp
1,1,98%,2.5 sec,97%,2020-01-01 00:00:00
2,2,95%,4.2 sec,93%,2020-01-02 00:00:00
3,3,90%,3.4 sec,89%,2020-01-03 00:00:00
4,4,97%,3.1 sec,95%,2020-01-04 00:00:00
5,5,96%,2.9 sec,94%,2020-01-05 00:00:00
6,6,99%,2.7 sec,98%,2020-01-06 00:00:00
7,7,91%,3.3 sec,86%,2020-01-07 00:00:00
8,8,93%,3.2 sec,90%,2020-01-08 00:00:00
9,9,94%,4.1 sec,92%,2020-01-09 00:00:00
10,10,92%,3.7 sec,88%,2020-01-10 00:00:00
11,1,97%,2.8 sec,96%,2020-01-11 00:00:00
12,2,96%,4.3 sec,91%,2020-01-12 00:00:00
13,3,89%,3.5 sec,85%,2020-01-13 00:00:00
14,4,98%,3.2 sec,94%,2020-01-14 00:00:00
15,5,95%,2.6 sec,93%,2020-01-15 00:00:00
16,6,98%,2.9 sec,97%,2020-01-16 00:00:00
17,7,90%,3.4 sec,84%,2020-01-17 00:00:00
18,8,92%,3.3 sec,89%,2020-01-18 00:00:00
19,9,93%,4.2 sec,91%,2020-01-19 00:00:00
20,10,91%,3.8 sec,87%,2020-01-20 00:00:00
