
Court Name, Address, Jurisdiction, Timestamp
Supreme Court of the United States, 1 First St NE, Washington, DC 20543, United States, 2020-05-15 10:00:00
United States Court of Appeals for the Fifth Circuit, 600 S. Maestri Pl, New Orleans, LA 70130, United States, 2020-05-15 10:30:00
Supreme Court of California, 350 McAllister St, San Francisco, CA 94102, United States, 2020-05-15 11:00:00
Supreme Court of New York, 60 Centre St, New York, NY 10007, United States, 2020-05-15 11:30:00
Supreme Court of Texas, 201 W 14th St, Austin, TX 78701, United States, 2020-05-15 12:00:00
Supreme Court of Illinois, 200 E. Capitol Ave, Springfield, IL 62701, United States, 2020-05-15 12:30:00
Supreme Court of Ohio, 65 S. Front St, Columbus, OH 43215, United States, 2020-05-15 13:00:00
Supreme Court of Pennsylvania, 601 Commonwealth Ave, Harrisburg, PA 17120, United States, 2020-05-15 13:30:00
Supreme Court of Florida, 500 S. Duval St, Tallahassee, FL 32399, United States, 2020-05-15 14:00:00
Supreme Court of Georgia, 244 Washington St SW, Atlanta, GA 30334, United States, 2020-05-15 14:30:00
Supreme Court of Alabama, 300 Dexter Ave, Montgomery, AL 36104, United States, 2020-05-15 15:00:00
Supreme Court of Missouri, 207 W. High St, Jefferson City, MO 65101, United States, 2020-05-15 15:30:00
Supreme Court of Arizona, 1501 W. Washington St, Phoenix, AZ 85007, United States, 2020-05-15 16:00:00
Supreme Court of Arkansas, 625 Marshall St, Little Rock, AR 72201, United States, 2020-05-15 16:30:00
Supreme Court of New Jersey, 25 W. Market St, Trenton, NJ 08625, United States, 2020-05-15 17:00:00
Supreme Court of North Carolina, 2 E. Morgan St, Raleigh, NC 27601, United States, 2020-05-15 17:30:00
Supreme Court of Tennessee, 401 7th Ave N, Nashville, TN 37243, United States, 2020-05-15 18:00:00
Supreme Court of Virginia, 100 N. 9th St, Richmond, VA 23219, United States, 2020-05-15 18:30:00
Supreme Court of Maryland, 580 Taylor Ave, Annapolis, MD 21401, United States, 2020-05-15 19:00:00
Supreme Court of Wisconsin, 115 E. Capitol Dr, Madison, WI 53702, United States, 2020-05-15 19:30:00
