
ID,Name,City,Country,Latitude,Longitude
1,John F. Kennedy International Airport,New York,United States,40.641311,-73.778139
2,Los Angeles International Airport,Los Angeles,United States,33.942536,-118.407997
3,O'Hare International Airport,Chicago,United States,41.978603,-87.904842
4,Heathrow Airport,London,United Kingdom,51.470022,-0.454295
5,Charles de Gaulle Airport,Paris,France,49.012779,2.55
6,Frankfurt International Airport,Frankfurt,Germany,50.026421,8.543125
7,Suvarnabhumi Airport,Bangkok,Thailand,13.681108,100.747283
8,Hong Kong International Airport,Hong Kong,Hong Kong,22.308919,113.91531
9,Narita International Airport,Tokyo,Japan,35.764722,140.386389
10,Beijing Capital International Airport,Beijing,China,40.080111,116.584556
11,Incheon International Airport,Seoul,South Korea,37.469075,126.450517
12,Sydney Airport,Sydney,Australia,-33.94,151.17
13,Johannesburg International Airport,Johannesburg,South Africa,-26.138639,28.246
14,Rio de Janeiro–Galeão International Airport,Rio de Janeiro,Brazil,-22.808903,-43.243647
15,Mexico City International Airport,Mexico City,Mexico,19.436329,-99.072098
16,Toronto Pearson International Airport,Toronto,Canada,43.677223,-79.630556
17,Soekarno-Hatta International Airport,Jakarta,Indonesia,-6.125567,106.655897
18,Dubai International Airport,Dubai,United Arab Emirates,25.252778,55.364444
19,Kuala Lumpur International Airport,Kuala Lumpur,Malaysia,2.745578,101.709917
20,Cairo International Airport,Cairo,Egypt,30.121944,31.405556
