
ID,RouteID,DateStarted,DateEnded,DelayMinutes,CancelledFlights
1,101,2020-01-01 00:00:00,2020-01-01 01:30:00,90,1
2,101,2020-01-02 00:00:00,2020-01-02 01:30:00,45,0
3,101,2020-01-03 00:00:00,2020-01-03 02:00:00,90,1
4,101,2020-01-04 00:00:00,2020-01-04 01:45:00,75,0
5,101,2020-01-05 00:00:00,2020-01-05 01:30:00,90,0
6,101,2020-01-06 00:00:00,2020-01-06 01:15:00,75,1
7,101,2020-01-07 00:00:00,2020-01-07 01:45:00,105,0
8,101,2020-01-08 00:00:00,2020-01-08 02:00:00,120,1
9,101,2020-01-09 00:00:00,2020-01-09 01:30:00,90,0
10,101,2020-01-10 00:00:00,2020-01-10 01:45:00,105,1
11,101,2020-01-11 00:00:00,2020-01-11 01:15:00,75,0
12,101,2020-01-12 00:00:00,2020-01-12 02:00:00,120,1
13,101,2020-01-13 00:00:00,2020-01-13 01:30:00,90,0
14,101,2020-01-14 00:00:00,2020-01-14 01:45:00,105,1
15,101,2020-01-15 00:00:00,2020-01-15 01:15:00,75,0
16,101,2020-01-16 00:00:00,2020-01-16 01:30:00,90,1
17,101,2020-01-17 00:00:00,2020-01-17 01:45:00,105,0
18,101,2020-01-18 00:00:00,2020-01-18 02:00:00,120,1
19,101,2020-01-19 00:00:00,2020-01-19 01:30:00,90,0
20,101,2020-01-20 00:00:00,2020-01-20 01:45:00,105,1
