
ID,RouteID,DateStarted,DateEnded,NumberOfPassengers
1,1,2020-01-01 00:00:00,2020-01-02 00:00:00,105
2,1,2020-01-02 00:00:00,2020-01-03 00:00:00,85
3,1,2020-01-03 00:00:00,2020-01-04 00:00:00,125
4,2,2020-01-01 00:00:00,2020-01-02 00:00:00,45
5,2,2020-01-02 00:00:00,2020-01-03 00:00:00,75
6,2,2020-01-03 00:00:00,2020-01-04 00:00:00,95
7,3,2020-01-01 00:00:00,2020-01-02 00:00:00,175
8,3,2020-01-02 00:00:00,2020-01-03 00:00:00,145
9,3,2020-01-03 00:00:00,2020-01-04 00:00:00,155
10,4,2020-01-01 00:00:00,2020-01-02 00:00:00,65
11,4,2020-01-02 00:00:00,2020-01-03 00:00:00,95
12,4,2020-01-03 00:00:00,2020-01-04 00:00:00,115
13,5,2020-01-01 00:00:00,2020-01-02 00:00:00,105
14,5,2020-01-02 00:00:00,2020-01-03 00:00:00,125
15,5,2020-01-03 00:00:00,2020-01-04 00:00:00,145
16,6,2020-01-01 00:00:00,2020-01-02 00:00:00,55
17,6,2020-01-02 00:00:00,2020-01-03 00:00:00,85
18,6,2020-01-03 00:00:00,2020-01-04 00:00:00,105
19,7,2020-01-01 00:00:00,2020-01-02 00:00:00,145
20,7,2020-01-02 00:00:00,2020-01-03 00:00:00,165
